iter	Passed	Remaining
0	1	914
1	3	853
2	4	813
3	6	807
4	7	809
5	9	803
6	11	820
7	12	770
8	13	770
9	15	776
10	16	746
11	18	751
12	19	761
13	21	772
14	24	796
15	26	810
16	28	821
17	30	839
18	32	854
19	35	875
20	38	898
21	41	923
22	44	945
23	47	963
24	49	967
25	51	971
26	54	980
27	57	995
28	60	1009
29	63	1015
30	66	1031
31	69	1037
32	71	1042
33	74	1049
34	77	1056
35	80	1067
36	83	1073
37	86	1081
38	87	1062
39	90	1069
40	93	1073
41	96	1078
42	99	1086
43	103	1096
44	106	1103
45	109	1110
46	113	1119
47	116	1123
48	120	1134
49	123	1139
50	127	1148
51	130	1153
52	133	1155
53	135	1150
54	137	1144
55	141	1154
56	144	1156
57	147	1157
58	150	1158
59	154	1160
60	157	1164
61	160	1167
62	164	1173
63	167	1175
64	171	1179
65	175	1184
66	179	1190
67	180	1175
68	183	1178
69	187	1182
70	190	1182
71	193	1182
72	196	1181
73	199	1181
74	202	1181
75	205	1177
76	208	1179
77	211	1177
78	214	1175
79	218	1177
80	221	1180
81	225	1179
82	227	1178
83	230	1175
84	233	1174
85	236	1172
86	240	1172
87	242	1168
88	247	1173
89	251	1177
90	255	1181
91	258	1181
92	262	1184
93	266	1187
94	271	1191
95	277	1202
96	281	1206
97	286	1209
98	290	1211
99	294	1214
100	299	1217
101	303	1219
102	307	1219
103	311	1221
104	315	1221
105	319	1223
106	323	1225
107	327	1226
108	332	1228
109	336	1229
110	340	1229
111	344	1230
112	348	1230
113	352	1230
114	356	1230
115	365	1249
116	368	1245
117	373	1245
118	376	1244
119	381	1245
120	384	1241
121	387	1238
122	389	1231
123	393	1231
124	397	1229
125	400	1228
126	402	1219
127	405	1215
128	408	1212
129	412	1211
130	415	1207
131	418	1203
132	420	1199
133	425	1199
134	428	1197
135	431	1193
136	435	1192
137	439	1192
138	444	1192
139	448	1191
140	453	1192
141	457	1191
142	460	1188
143	464	1187
144	469	1187
145	473	1187
146	477	1186
147	482	1186
148	486	1185
149	491	1185
150	495	1184
151	499	1183
152	503	1182
153	507	1180
154	512	1180
155	516	1178
156	520	1176
157	524	1174
158	528	1173
159	532	1171
160	536	1170
161	541	1168
162	545	1167
163	549	1165
164	553	1163
165	557	1162
166	561	1160
167	565	1158
168	570	1157
169	574	1155
170	578	1153
171	582	1151
172	586	1149
173	590	1146
174	594	1145
175	599	1143
176	603	1142
177	607	1140
178	611	1138
179	615	1136
180	620	1134
181	624	1132
182	629	1130
183	633	1129
184	637	1127
185	640	1122
186	644	1119
187	648	1116
188	652	1114
189	655	1111
190	660	1109
191	662	1103
192	667	1102
193	671	1100
194	675	1098
195	679	1095
196	681	1090
197	686	1088
198	690	1086
199	694	1083
200	698	1080
201	702	1077
202	706	1074
203	710	1072
204	714	1070
205	715	1063
206	719	1060
207	723	1057
208	727	1055
209	731	1052
210	735	1049
211	739	1046
212	743	1043
213	747	1041
214	750	1036
215	754	1033
216	758	1030
217	762	1027
218	766	1024
219	769	1021
220	774	1019
221	778	1016
222	782	1013
223	786	1011
224	790	1008
225	792	1002
226	796	999
227	800	997
228	804	994
229	808	991
230	813	989
231	815	984
232	819	981
233	823	978
234	827	975
235	831	972
236	836	971
237	841	969
238	845	966
239	849	962
240	853	960
241	857	957
242	861	954
243	865	951
244	869	947
245	873	944
246	877	941
247	882	938
248	886	936
249	890	933
250	894	930
251	898	927
252	902	924
253	907	921
254	911	918
255	915	915
256	919	912
257	924	909
258	928	906
259	932	903
260	936	900
261	940	897
262	944	894
263	948	890
264	952	887
265	956	884
266	960	881
267	964	878
268	968	875
269	972	871
270	976	868
271	980	864
272	984	861
273	987	857
274	990	854
275	995	850
276	998	847
277	1003	844
278	1007	841
279	1011	837
280	1014	833
281	1018	830
282	1022	827
283	1026	823
284	1029	820
285	1033	816
286	1037	813
287	1042	810
288	1045	806
289	1049	803
290	1052	799
291	1056	796
292	1059	792
293	1063	788
294	1067	785
295	1071	781
296	1075	778
297	1079	775
298	1083	771
299	1086	767
300	1090	764
301	1093	760
302	1097	757
303	1102	754
304	1106	750
305	1110	747
306	1115	744
307	1118	741
308	1120	736
309	1123	732
310	1127	728
311	1130	724
312	1133	720
313	1136	716
314	1140	713
315	1143	709
316	1146	705
317	1149	701
318	1153	698
319	1157	694
320	1161	690
321	1165	687
322	1168	683
323	1171	679
324	1175	676
325	1179	672
326	1184	669
327	1188	666
328	1192	663
329	1196	659
330	1201	656
331	1204	652
332	1206	648
333	1210	644
334	1214	641
335	1218	638
336	1221	634
337	1224	630
338	1228	626
339	1231	623
340	1234	619
341	1238	615
342	1241	611
343	1244	607
344	1248	604
345	1251	600
346	1254	596
347	1258	593
348	1262	589
349	1266	586
350	1269	582
351	1273	578
352	1276	575
353	1280	571
354	1284	568
355	1287	564
356	1290	560
357	1293	556
358	1297	552
359	1300	549
360	1304	545
361	1307	541
362	1310	537
363	1314	534
364	1318	531
365	1323	527
366	1326	524
367	1330	520
368	1335	517
369	1338	513
370	1341	509
371	1345	506
372	1349	502
373	1352	498
374	1354	495
375	1357	491
376	1360	487
377	1364	483
378	1368	480
379	1371	476
380	1375	472
381	1379	469
382	1383	465
383	1387	462
384	1391	458
385	1394	455
386	1398	451
387	1401	447
388	1404	444
389	1408	440
390	1412	437
391	1416	433
392	1419	429
393	1422	426
394	1426	422
395	1430	418
396	1433	415
397	1436	411
398	1439	407
399	1443	404
400	1447	400
401	1450	396
402	1453	393
403	1457	389
404	1460	385
405	1463	382
406	1467	378
407	1471	375
408	1474	371
409	1477	367
410	1480	363
411	1484	360
412	1488	356
413	1491	353
414	1495	349
415	1499	345
416	1502	342
417	1506	338
418	1509	335
419	1512	331
420	1516	327
421	1520	324
422	1524	320
423	1528	317
424	1531	313
425	1534	309
426	1537	306
427	1541	302
428	1545	298
429	1548	295
430	1552	291
431	1556	288
432	1560	284
433	1563	281
434	1567	277
435	1570	273
436	1574	270
437	1577	266
438	1582	263
439	1585	259
440	1589	255
441	1592	252
442	1595	248
443	1598	244
444	1602	241
445	1606	237
446	1610	234
447	1614	230
448	1617	226
449	1622	223
450	1626	219
451	1630	216
452	1633	212
453	1636	209
454	1639	205
455	1643	201
456	1647	198
457	1649	194
458	1653	190
459	1657	187
460	1659	183
461	1662	179
462	1666	176
463	1670	172
464	1674	169
465	1678	165
466	1681	162
467	1684	158
468	1687	154
469	1691	151
470	1694	147
471	1698	143
472	1702	140
473	1705	136
474	1708	133
475	1711	129
476	1715	125
477	1717	122
478	1720	118
479	1724	114
480	1727	111
481	1731	107
482	1735	104
483	1739	100
484	1742	97
485	1746	93
486	1749	89
487	1753	86
488	1756	82
489	1759	79
490	1763	75
491	1766	71
492	1769	68
493	1772	64
494	1776	61
495	1779	57
496	1782	53
497	1785	50
498	1788	46
499	1791	42
500	1793	39
501	1798	35
502	1802	32
503	1806	28
504	1809	25
505	1812	21
506	1815	17
507	1818	14
508	1822	10
509	1826	7
510	1829	3
511	1833	0
