Index,TE ,C,Cr,W,Si,Mn,V,Ta,Zr,Y,Ti,N,NT ,Nt ,TT ,Tt ,Ttest 
1,24.1,0.11,8.7,1.0,0.0,0.44,0.19,0.1,0.0,0.0,0.0,0.0,980,27,760,90,600
2,22.0,0.097,8.99,2.01,0.049,0.5,0.2,0.1,0.0,0.0,0.002,0.015,1050,60,780,30,25
3,17.4,0.11,9.3,1.51,0.06,0.45,0.22,0.15,0.0,0.046,0.0,0.0153,1050,30,750,90,25
4,13.6,0.11,9.3,1.51,0.06,0.45,0.22,0.15,0.0,0.046,0.0,0.0153,1050,30,650,90,600
5,20.0,0.09,9.0,1.98,0.0,0.49,0.2,0.083,0.0,0.0,0.0,0.015,1050,60,780,60,500
6,15.7,0.11,9.2,1.5,0.05,0.45,0.22,0.14,0.003,0.005,0.0,0.0034,1050,30,750,90,500
7,16.3,0.1,9.1,1.49,0.05,0.46,0.22,0.15,0.002,0.001,0.0,0.0032,1050,30,750,90,550
8,13.68,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0.0,0.0,0.005,0.03,980,30,763,90,400
9,18.0,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0.0,0.0,0.0,0.002,1000,40,740,90,400
10,14.0,0.12,8.91,2.03,0.01,0.01,0.26,0.069,0.0,0.0,0.05,0.0,1050,30,750,60,25
11,9.6,0.11,9.3,1.51,0.06,0.45,0.22,0.15,0.0,0.046,0.0,0.0153,1050,30,650,90,300
12,13.53,0.08,9.04,1.0,0.09,0.55,0.22,0.06,0.0,0.0,0.005,0.0226,980,30,763,90,250
13,12.3,0.1,8.72,2.09,0.23,0.43,0.23,0.07,0.0,0.0,0.0,0.0,1050,30,750,60,25
14,30.3,0.12,8.79,2.01,0.22,0.52,0.24,0.11,0.0,0.0,0.0,0.0,1050,60,750,120,600
15,23.0,0.1,8.85,1.99,0.05,0.45,0.2,0.08,0.0,0.0,0.0,0.0231,1050,60,780,30,400
16,21.6,0.12,8.5,1.5,0.0,0.51,0.25,0.1,0.0,0.0,0.0,0.0067,980,45,740,90,25
17,22.75,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0.0,0.0,0.005,0.03,980,30,763,90,600
18,15.4,0.09,9.0,2.0,0.09,0.5,0.18,0.09,0.0,0.0,0.0,0.0,1030,30,750,60,25
19,13.0,0.11,9.3,1.51,0.06,0.45,0.21,0.15,0.0,0.014,0.008,0.0,1050,30,650,90,550
20,8.5,0.13,8.94,1.45,0.0,0.44,0.19,0.15,0.0,0.0,0.0,0.0,980,30,760,90,400
21,14.36,0.1,9.2,1.5,0.05,0.44,0.22,0.15,0.0,0.014,0.025,0.0,1050,30,650,90,550
22,25.0,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.0,0.0028,1050,30,750,90,25
23,18.1,0.12,8.91,1.08,0.04,0.48,0.2,0.14,0.0,0.0,0.006,0.02,980,30,760,90,25
24,13.66,0.11,9.2,1.51,0.05,0.44,0.22,0.15,0.0,0.013,0.0,0.0,1050,30,650,90,550
25,17.96,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0.0,0.0,0.005,0.03,980,30,763,90,550
26,15.13,0.12,8.99,2.06,0.06,0.65,0.24,0.06,0.0,0.0,0.005,0.02,980,30,763,90,350
27,11.6,0.13,8.94,1.45,0.0,0.44,0.19,0.15,0.0,0.0,0.0,0.0,980,30,760,90,500
28,18.0,0.09,9.0,1.98,0.0,0.49,0.2,0.083,0.0,0.0,0.0,0.015,1050,60,780,60,600
29,27.0,0.1,8.85,1.99,0.05,0.45,0.2,0.08,0.0,0.0,0.0,0.0231,1050,60,780,30,600
30,27.0,0.099,7.88,1.78,0.1,0.45,0.19,0.093,0.0,0.0,0.001,0.0098,1040,40,750,60,550
31,18.0,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.01,0.0027,1050,30,750,90,550
32,17.3,0.098,9.3,0.97,0.02,0.6,0.24,0.0,0.0,0.0,0.0,0.055,1050,120,750,120,25
33,27.56,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.01,0.0027,1050,30,750,90,25
34,12.2,0.08,9.04,1.0,0.09,0.55,0.22,0.06,0.0,0.0,0.005,0.0226,980,30,763,90,400
35,15.0,0.1,9.3,0.93,0.11,0.4,0.22,0.094,0.0,0.0,0.0,0.002,1000,60,750,120,25
36,22.3,0.11,9.2,1.48,0.05,0.46,0.22,0.14,0.0,0.0,0.0,0.0154,1100,30,740,90,650
37,12.35,0.11,9.3,1.51,0.06,0.45,0.21,0.15,0.0,0.014,0.008,0.0,1050,30,650,90,500
38,17.6,0.1,9.1,1.49,0.06,0.44,0.22,0.15,0.002,0.011,0.0,0.0031,1050,30,750,90,550
39,16.3,0.099,7.88,1.78,0.1,0.45,0.19,0.093,0.0,0.0,0.001,0.0098,1040,40,750,60,250
40,14.2,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0.0,0.0,0.005,0.03,980,30,763,90,300
41,19.2,0.099,7.88,1.78,0.1,0.45,0.19,0.093,0.0,0.0,0.001,0.0098,1040,40,750,60,450
42,22.9,0.09,8.8,1.02,0.13,0.44,0.21,0.089,0.0,0.0,0.014,0.002,1000,30,760,90,25
43,26.3,0.1,9.1,1.49,0.06,0.44,0.22,0.15,0.002,0.011,0.0,0.0031,1050,30,750,90,650
44,21.5,0.11,9.4,1.35,0.05,0.45,0.22,0.071,0.0,0.071,0.0,0.0022,1050,30,750,90,300
45,21.9,0.096,8.97,2.01,0.051,0.5,0.2,0.14,0.0,0.0,0.048,0.0152,1050,60,800,30,25
46,12.8,0.1,9.1,1.49,0.05,0.46,0.22,0.15,0.002,0.001,0.0,0.0032,1050,30,750,90,300
47,31.34,0.12,8.84,2.05,0.77,0.51,0.24,0.11,0.0,0.0,0.0,0.0,1050,60,750,120,550
48,14.68,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0.0,0.0,0.005,0.03,980,30,763,90,500
49,14.7,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.0,0.0028,1050,30,750,90,300
50,14.85,0.11,9.2,1.51,0.06,0.45,0.22,0.15,0.0,0.015,0.039,0.0,1050,30,650,90,300
51,20.8,0.1,9.1,1.49,0.06,0.44,0.22,0.15,0.002,0.011,0.0,0.0031,1050,30,750,90,600
52,15.6,0.1,8.92,2.02,0.01,0.01,0.26,0.069,0.0,0.0,0.04,0.0,1050,30,750,60,25
53,14.7,0.11,9.2,1.51,0.05,0.44,0.22,0.15,0.0,0.013,0.0,0.0,1050,30,650,90,600
54,19.6,0.11,9.4,1.35,0.05,0.46,0.22,0.071,0.0,0.006,0.0,0.0023,1050,30,750,90,600
55,16.1,0.1,9.1,1.49,0.06,0.44,0.22,0.15,0.002,0.011,0.0,0.0031,1050,30,750,90,500
56,28.0,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.05,0.0029,1050,30,750,90,650
57,27.6,0.11,9.4,1.35,0.05,0.45,0.22,0.071,0.0,0.071,0.0,0.0022,1050,30,750,90,650
58,22.0,0.098,8.99,2.0,0.05,0.5,0.2,0.098,0.0,0.0,0.002,0.0149,1050,60,780,30,25
59,25.2,0.11,9.2,1.5,0.05,0.45,0.22,0.14,0.003,0.005,0.0,0.0034,1050,30,750,90,650
60,25.6,0.11,9.4,1.35,0.05,0.45,0.21,0.073,0.0,0.036,0.0,0.0022,1050,30,750,90,650
61,19.7,0.099,7.88,1.78,0.1,0.45,0.19,0.093,0.0,0.0,0.001,0.0098,1040,40,750,60,25
62,13.0,0.11,9.2,1.5,0.05,0.45,0.22,0.14,0.003,0.005,0.0,0.0034,1050,30,750,90,300
63,28.0,0.1,9.2,1.5,0.05,0.44,0.22,0.15,0.0,0.014,0.025,0.0,1050,30,650,90,650
64,14.1,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0.0,0.0,0.005,0.03,980,30,763,90,450
65,15.8,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.0,0.0028,1050,30,750,90,500
66,22.1,0.11,9.2,1.51,0.05,0.44,0.22,0.15,0.0,0.013,0.0,0.0,1050,30,650,90,25
67,21.0,0.1,9.0,1.5,0.0,0.45,0.2,0.15,0.0,0.2,0.0,0.0,980,30,760,90,25
68,15.43,0.08,9.04,1.0,0.09,0.55,0.22,0.06,0.0,0.0,0.005,0.0226,980,30,763,90,100
69,23.3,0.1,8.74,0.94,0.09,0.23,0.18,0.06,0.009,0.0,0.005,0.004,1000,40,750,70,25
70,15.8,0.11,9.3,1.51,0.06,0.45,0.22,0.15,0.0,0.046,0.0,0.0153,1050,30,650,90,25
71,21.6,0.099,7.88,1.78,0.1,0.45,0.19,0.093,0.0,0.0,0.001,0.0098,1040,40,750,60,500
72,17.35,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.0,0.0028,1050,30,750,90,550
73,14.2,0.092,8.87,1.71,0.01,0.28,0.19,0.002,0.0,0.0,0.0,0.0,1050,30,750,90,200
74,20.3,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.0,0.0028,1050,30,750,90,600
75,38.47,0.12,8.84,2.05,0.77,0.51,0.24,0.11,0.0,0.0,0.0,0.0,1050,60,750,120,600
76,11.6,0.11,9.3,1.51,0.06,0.45,0.22,0.15,0.0,0.046,0.0,0.0153,1050,30,650,90,500
77,18.11,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0.0,0.0,0.005,0.03,980,30,763,90,100
78,20.5,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0.0,0.0,0.0,0.002,1000,40,740,90,50
79,21.3,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0.0,0.0,0.0,0.002,1000,40,740,90,500
80,14.8,0.097,8.99,2.01,0.049,0.5,0.2,0.1,0.0,0.0,0.002,0.015,1050,60,780,30,400
81,25.5,0.11,9.4,1.35,0.05,0.45,0.22,0.071,0.0,0.071,0.0,0.0022,1050,30,750,90,600
82,12.0,0.092,8.87,1.71,0.01,0.28,0.19,0.002,0.0,0.0,0.0,0.0,1050,30,750,90,400
83,12.32,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0.0,0.0,0.005,0.03,980,30,763,90,350
84,28.36,0.12,8.84,2.05,0.77,0.51,0.24,0.11,0.0,0.0,0.0,0.0,1050,60,750,120,500
85,14.2,0.12,8.99,2.06,0.06,0.65,0.24,0.06,0.0,0.0,0.005,0.02,980,30,763,90,250
86,13.5,0.092,8.87,1.71,0.01,0.28,0.19,0.002,0.0,0.0,0.0,0.0,1050,30,750,90,500
87,13.85,0.08,9.04,1.0,0.09,0.55,0.22,0.06,0.0,0.0,0.005,0.0226,980,30,763,90,300
88,17.0,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0.0,0.0,0.0,0.002,1000,40,740,90,300
89,23.6,0.1,9.1,1.49,0.05,0.46,0.22,0.15,0.002,0.001,0.0,0.0032,1050,30,750,90,25
90,12.3,0.1,8.72,2.09,0.23,0.43,0.23,0.07,0.0,0.0,0.0,0.0,1050,30,750,60,25
91,16.0,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0.0,0.0,0.0,0.002,1000,40,740,90,350
92,13.11,0.11,9.2,1.5,0.05,0.45,0.22,0.15,0.013,0.043,0.0,0.0157,1050,30,750,90,300
93,16.1,0.11,9.2,1.5,0.05,0.45,0.22,0.15,0.013,0.043,0.0,0.0157,1050,30,650,90,600
94,11.95,0.09,7.87,1.98,0.07,0.1,0.19,0.03,0.0,0.0,0.04,0.007,1040,38,750,60,25
95,14.8,0.09,9.0,1.98,0.0,0.49,0.2,0.083,0.0,0.0,0.0,0.015,1050,60,780,60,25
96,15.9,0.12,8.93,1.07,0.06,0.47,0.2,0.14,0.0,0.0,0.009,0.018,980,27,760,90,25
97,27.31,0.11,9.2,1.5,0.05,0.45,0.22,0.15,0.013,0.043,0.0,0.0157,1050,30,750,90,650
98,23.0,0.1,9.3,0.95,0.13,0.41,0.23,0.0,0.0,0.0,0.056,0.002,1000,60,750,120,25
99,13.5,0.1,9.1,1.49,0.06,0.44,0.22,0.15,0.002,0.011,0.0,0.0031,1050,30,750,90,300
100,23.9,0.11,9.2,1.51,0.06,0.45,0.22,0.15,0.0,0.015,0.039,0.0,1050,30,650,90,25
101,23.0,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.05,0.0029,1050,30,750,90,550
102,27.6,0.1,8.85,1.99,0.05,0.45,0.2,0.08,0.0,0.0,0.0,0.0231,1050,60,780,60,25
103,14.6,0.12,8.99,2.06,0.06,0.65,0.24,0.06,0.0,0.0,0.005,0.02,980,30,763,90,300
104,23.2,0.11,9.4,1.35,0.05,0.45,0.21,0.073,0.0,0.036,0.0,0.0022,1050,30,750,90,600
105,18.87,0.1,9.0,1.5,0.0,0.45,0.2,0.15,0.0,0.2,0.0,0.0,980,30,760,90,500
106,34.0,0.11,8.86,2.07,0.05,0.5,0.24,0.11,0.0,0.0,0.0,0.0,1050,60,750,120,650
107,19.2,0.11,9.4,1.35,0.05,0.45,0.21,0.073,0.0,0.036,0.0,0.0022,1050,30,750,90,500
108,15.3,0.099,7.88,1.78,0.1,0.45,0.19,0.093,0.0,0.0,0.001,0.0098,1040,40,750,60,350
109,17.5,0.098,8.99,2.0,0.05,0.5,0.2,0.098,0.0,0.0,0.002,0.0149,1050,60,780,30,500
110,9.6,0.09,9.0,1.98,0.0,0.49,0.2,0.083,0.0,0.0,0.0,0.015,1050,60,780,60,400
111,16.5,0.11,9.2,1.5,0.05,0.45,0.22,0.15,0.013,0.043,0.0,0.0157,1050,30,650,90,25
112,17.04,0.11,8.7,1.0,0.0,0.44,0.19,0.1,0.0,0.0,0.0,0.0,980,27,760,90,400
113,18.0,0.12,8.95,2.01,0.23,0.51,0.24,0.0,0.0,0.0,0.01,0.0,1040,60,760,60,25
114,28.0,0.099,7.88,1.78,0.1,0.45,0.19,0.093,0.0,0.0,0.001,0.0098,1040,40,750,60,600
115,14.7,0.097,8.99,2.01,0.049,0.5,0.2,0.1,0.0,0.0,0.002,0.015,1050,60,780,30,300
116,27.43,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.03,0.003,1050,30,750,90,650
117,16.47,0.11,9.2,1.5,0.05,0.45,0.22,0.14,0.003,0.005,0.0,0.0034,1050,30,750,90,550
118,19.6,0.12,8.99,2.06,0.06,0.65,0.24,0.06,0.0,0.0,0.005,0.02,980,30,763,90,600
119,17.3,0.099,7.88,1.78,0.1,0.45,0.19,0.093,0.0,0.0,0.001,0.0098,1040,40,750,60,200
120,15.63,0.12,8.99,2.06,0.06,0.65,0.24,0.06,0.0,0.0,0.005,0.02,980,30,763,90,500
121,13.0,0.1,9.3,0.93,0.11,0.4,0.22,0.094,0.0,0.0,0.0,0.002,1000,60,650,120,25
122,18.0,0.11,9.3,1.51,0.06,0.45,0.21,0.15,0.0,0.014,0.008,0.0,1050,30,650,90,600
123,24.87,0.11,9.3,1.51,0.06,0.45,0.21,0.15,0.0,0.014,0.008,0.0,1050,30,650,90,650
124,17.2,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0.0,0.0,0.005,0.03,980,15,765,90,25
125,19.36,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.03,0.003,1050,30,750,90,300
