Index,TE ,C,Cr,W,Si,Mn,V,Ta,Zr,Y,Ti,N,NT ,Nt ,TT ,Tt ,Ttest 
1,13.5,0.1,9.1,1.49,0.06,0.44,0.22,0.15,0.002,0.011,0.0,0.0031,1050,30,750,90,300
2,27.31,0.11,9.2,1.5,0.05,0.45,0.22,0.15,0.013,0.043,0.0,0.0157,1050,30,750,90,650
3,24.87,0.11,9.3,1.51,0.06,0.45,0.21,0.15,0.0,0.014,0.008,0.0,1050,30,650,90,650
4,23.9,0.11,9.2,1.51,0.06,0.45,0.22,0.15,0.0,0.015,0.039,0.0,1050,30,650,90,25
5,20.3,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.0,0.0028,1050,30,750,90,600
6,28.0,0.1,9.2,1.5,0.05,0.44,0.22,0.15,0.0,0.014,0.025,0.0,1050,30,650,90,650
7,21.6,0.099,7.88,1.78,0.1,0.45,0.19,0.093,0.0,0.0,0.001,0.0098,1040,40,750,60,500
8,18.3,0.098,8.99,2.0,0.05,0.5,0.2,0.098,0.0,0.0,0.002,0.0149,1050,60,780,30,300
9,23.0,0.1,8.85,1.99,0.05,0.45,0.2,0.08,0.0,0.0,0.0,0.0231,1050,60,780,30,400
10,14.2,0.092,8.87,1.71,0.01,0.28,0.19,0.002,0.0,0.0,0.0,0.0,1050,30,750,90,200
11,13.6,0.11,9.3,1.51,0.06,0.45,0.22,0.15,0.0,0.046,0.0,0.0153,1050,30,650,90,600
12,28.0,0.099,7.88,1.78,0.1,0.45,0.19,0.093,0.0,0.0,0.001,0.0098,1040,40,750,60,600
13,15.3,0.099,7.88,1.78,0.1,0.45,0.19,0.093,0.0,0.0,0.001,0.0098,1040,40,750,60,350
14,13.68,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0.0,0.0,0.005,0.03,980,30,763,90,400
15,24.1,0.11,8.7,1.0,0.0,0.44,0.19,0.1,0.0,0.0,0.0,0.0,980,27,760,90,600
16,19.7,0.099,7.88,1.78,0.1,0.45,0.19,0.093,0.0,0.0,0.001,0.0098,1040,40,750,60,25
17,20.27,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.03,0.003,1050,30,750,90,500
18,21.3,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0.0,0.0,0.0,0.002,1000,40,740,90,500
19,15.0,0.12,8.91,1.44,0.0,0.49,0.2,0.15,0.0,0.0,0.0,0.0,980,30,760,90,500
20,23.51,0.1,9.2,1.5,0.05,0.44,0.22,0.15,0.0,0.014,0.025,0.0,1050,30,650,90,25
21,15.43,0.08,9.04,1.0,0.09,0.55,0.22,0.06,0.0,0.0,0.005,0.0226,980,30,763,90,100
22,23.6,0.1,9.1,1.49,0.05,0.46,0.22,0.15,0.002,0.001,0.0,0.0032,1050,30,750,90,25
23,42.37,0.12,8.84,2.05,0.77,0.51,0.24,0.11,0.0,0.0,0.0,0.0,1050,60,750,120,650
24,20.8,0.1,9.1,1.49,0.06,0.44,0.22,0.15,0.002,0.011,0.0,0.0031,1050,30,750,90,600
25,11.15,0.11,9.2,1.5,0.05,0.45,0.22,0.15,0.013,0.043,0.0,0.0157,1050,30,650,90,300
26,13.82,0.11,9.2,1.51,0.06,0.45,0.22,0.15,0.0,0.015,0.039,0.0,1050,30,650,90,500
27,14.36,0.1,9.2,1.5,0.05,0.44,0.22,0.15,0.0,0.014,0.025,0.0,1050,30,650,90,550
28,19.2,0.099,7.88,1.78,0.1,0.45,0.19,0.093,0.0,0.0,0.001,0.0098,1040,40,750,60,450
29,15.1,0.11,9.2,1.51,0.06,0.45,0.22,0.15,0.0,0.015,0.039,0.0,1050,30,650,90,550
30,15.8,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.0,0.0028,1050,30,750,90,500
31,18.0,0.11,9.3,1.51,0.06,0.45,0.21,0.15,0.0,0.014,0.008,0.0,1050,30,650,90,600
32,8.5,0.13,8.94,1.45,0.0,0.44,0.19,0.15,0.0,0.0,0.0,0.0,980,30,760,90,400
33,17.96,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0.0,0.0,0.005,0.03,980,30,763,90,550
34,26.0,0.093,7.95,1.87,0.11,0.45,0.21,0.03,0.0,0.0,0.001,0.003,1040,40,750,60,25
35,14.35,0.12,8.99,2.06,0.06,0.65,0.24,0.06,0.0,0.0,0.005,0.02,980,30,763,90,400
36,23.5,0.11,9.4,1.35,0.05,0.46,0.22,0.071,0.0,0.006,0.0,0.0023,1050,30,750,90,650
37,22.1,0.096,8.97,2.01,0.05,0.49,0.2,0.14,0.0,0.0,0.002,0.0151,1050,60,780,30,25
38,17.0,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0.0,0.0,0.0,0.002,1000,40,740,90,250
39,23.0,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.05,0.0029,1050,30,750,90,550
40,27.56,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.01,0.0027,1050,30,750,90,25
41,22.6,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.0,0.0028,1050,30,750,90,650
42,18.6,0.11,9.2,1.5,0.05,0.45,0.22,0.14,0.003,0.005,0.0,0.0034,1050,30,750,90,600
43,15.13,0.12,8.99,2.06,0.06,0.65,0.24,0.06,0.0,0.0,0.005,0.02,980,30,763,90,350
44,20.2,0.11,8.7,1.0,0.0,0.44,0.19,0.1,0.0,0.0,0.0,0.0,980,27,760,90,500
45,31.34,0.12,8.84,2.05,0.77,0.51,0.24,0.11,0.0,0.0,0.0,0.0,1050,60,750,120,550
46,25.0,0.11,9.2,1.5,0.05,0.45,0.22,0.15,0.0,0.255,0.093,0.0157,1100,30,740,90,650
47,17.0,0.12,8.91,1.44,0.0,0.49,0.2,0.15,0.0,0.0,0.0,0.0,980,30,760,90,400
48,18.87,0.1,9.0,1.5,0.0,0.45,0.2,0.15,0.0,0.2,0.0,0.0,980,30,760,90,500
49,16.1,0.1,9.1,1.49,0.06,0.44,0.22,0.15,0.002,0.011,0.0,0.0031,1050,30,750,90,500
50,14.68,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0.0,0.0,0.005,0.03,980,30,763,90,500
51,12.32,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0.0,0.0,0.005,0.03,980,30,763,90,350
52,25.5,0.11,9.4,1.35,0.05,0.45,0.22,0.071,0.0,0.071,0.0,0.0022,1050,30,750,90,600
53,12.35,0.11,9.3,1.51,0.06,0.45,0.21,0.15,0.0,0.014,0.008,0.0,1050,30,650,90,500
54,25.0,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.0,0.0028,1050,30,750,90,25
55,25.6,0.11,9.4,1.35,0.05,0.45,0.21,0.073,0.0,0.036,0.0,0.0022,1050,30,750,90,650
