Index,TE ,C,Cr,W,Si,Mn,V,Ta,Zr,Y,Ti,N,NT ,Nt ,TT ,Tt ,Ttest 
19,17.2,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,30,763,90,25
45,27,0.11,8.86,2.07,0.05,0.5,0.24,0.11,0,0,0,0,1050,60,750,120,550
52,34.14,0.12,8.79,2.01,0.22,0.52,0.24,0.11,0,0,0,0,1050,60,750,120,650
75,13.3,0.092,8.87,1.71,0.01,0.28,0.19,0.002,0,0,0,0,1050,30,750,90,300
110,9.72,0.11,9.3,1.51,0.06,0.45,0.22,0.15,0,0.046,0,0.0153,1050,30,750,90,300
134,19.1,0.1,8.72,2.09,0.23,0.43,0.23,0.07,0,0,0,0,1050,60,750,120,25
190,18,0.11,9.2,1.51,0.06,0.45,0.22,0.15,0,0.015,0.039,0,1050,30,650,90,600
195,22,0.006,9.11,1.47,0.16,0.47,0.21,0.11,0,0,0,0.043,1050,50,760,90,25
198,12.6,0.13,8.94,1.45,0,0.44,0.19,0.15,0,0,0,0,980,30,760,90,25
208,20.7,0.1,8.74,0.94,0.09,0.23,0.18,0.06,0.009,0,0.005,0.004,1000,40,750,70,500
240,16,0.096,8.97,2.01,0.05,0.49,0.2,0.14,0,0,0.002,0.0151,1050,60,780,30,300
241,14.6,0.098,8.99,2,0.05,0.5,0.2,0.098,0,0,0.002,0.0149,1050,60,780,30,400
254,24,0.09,9,1.06,0.13,0.43,0.23,0.075,0,0,0,0.0036,1000,30,760,90,25
261,15.17,0.099,7.88,1.78,0.1,0.45,0.19,0.093,0,0,0.001,0.0098,1040,40,750,60,300
