Index,TE ,C,Cr,W,Si,Mn,V,Ta,Zr,Y,Ti,N,NT ,Nt ,TT ,Tt ,Ttest 
107,11.18,0.09,7.7,1.95,0.11,0.16,0.16,0.02,0,0,0,0,1040,38,750,60,25
73,23.18,0.11,9.3,1.51,0.06,0.45,0.22,0.15,0,0.046,0,0.0153,1050,30,750,90,650
252,20.8,0.089,8.97,1.96,0.051,0.5,0.2,0.098,0,0,0,0.0277,1050,60,780,30,25
106,23,0.11,8.86,2.07,0.05,0.5,0.24,0.11,0,0,0,0,1050,60,750,120,25
129,18,0.08,9.04,1,0.09,0.55,0.22,0.06,0,0,0.005,0.0226,980,30,763,90,600
76,21.4,0.11,9.3,1.51,0.06,0.45,0.21,0.15,0,0.014,0.008,0,1050,30,650,90,25
14,17.5,0.11,9.4,1.35,0.05,0.46,0.22,0.071,0,0.006,0,0.0023,1050,30,750,90,500
254,22.4,0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.05,0.0029,1050,30,750,90,500
21,16,0.1,9.3,0.95,0.13,0.41,0.23,0,0,0,0.056,0.002,1000,60,650,120,25
125,23.6,0.11,9.3,1.51,0.06,0.45,0.22,0.15,0,0.253,0,0.0153,1100,30,740,90,25
112,15.47,0.11,9.2,1.5,0.05,0.45,0.22,0.15,0.013,0.043,0,0.0157,1050,30,750,90,500
91,18.1,0.1,9.1,1.49,0.05,0.46,0.22,0.15,0.002,0.001,0,0.0032,1050,30,750,90,600
167,20.2,0.11,8.7,1,0,0.44,0.19,0.1,0,0,0,0,980,27,760,90,500
168,18,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0,0,0,0.002,1000,40,740,90,450
61,24.4,0.12,8.79,2.01,0.22,0.52,0.24,0.11,0,0,0,0,1050,60,750,120,500
6,16.9,0.12,8.93,1.1,0.04,0.44,0.19,0.14,0,0,0.009,0.017,979,111,739,222,25
99,20,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0,0,0,0.002,1000,40,740,90,100
186,23,0.11,9.2,1.51,0.05,0.44,0.22,0.15,0,0.013,0,0,1050,30,650,90,650
83,16,0.092,8.87,1.71,0.01,0.28,0.19,0.002,0,0,0,0,1050,30,750,90,600
150,25,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0,0,0,0.002,1000,40,740,90,550
87,19,0.12,8.91,1.44,0,0.49,0.2,0.15,0,0,0,0,980,30,760,90,600
60,25.2,0.11,9.2,1.5,0.05,0.45,0.22,0.14,0.003,0.005,0,0.0034,1050,30,750,90,25
134,14,0.1,8.85,1.99,0.05,0.45,0.2,0.08,0,0,0,0.0231,1050,60,780,60,325
206,20,0.006,9.11,1.47,0.16,0.47,0.21,0.11,0,0,0,0.043,1050,50,760,90,600
235,24,0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.01,0.0027,1050,30,750,90,650
184,20.3,0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.05,0.0029,1050,30,750,90,300
22,21.9,0.096,8.97,2.01,0.051,0.5,0.2,0.14,0,0,0.048,0.0152,1050,60,800,30,25
183,14.1,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,30,763,90,450
110,18.6,0.11,9.2,1.5,0.05,0.45,0.22,0.14,0.003,0.005,0,0.0034,1050,30,750,90,600
117,14.68,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,30,763,90,500
229,8.5,0.13,8.94,1.45,0,0.44,0.19,0.15,0,0,0,0,980,30,760,90,400
225,22.6,0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0,0.0028,1050,30,750,90,650
4,20.8,0.1,9.1,1.49,0.06,0.44,0.22,0.15,0.002,0.011,0,0.0031,1050,30,750,90,600
