,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
ExtraTreesRegressor(),0.8652309966248044,69.32954864990829,0.031455068819223636,27.66999999999996,45.074,0.8795341540495349,0.563516754093218,-72.99985976189551,0.038601112361698955,-41.043,-52.68784615384616,0.6805973819691289,4,4,4,1,2,2,0,1,0,1,0,1,3
<catboost.core.CatBoostRegressor object at 0x0000023EF6C223A0>,0.8590245491240449,70.9079795228829,0.037906801242144496,30.45564193420563,46.33419077128883,0.86807861773953,0.5210520183126378,-73.87401772616204,0.04586824288089247,-44.44961021846355,-56.25792806770503,0.7133404947032724,5,5,6,4,4,5,2,2,2,2,2,0,10
GradientBoostingRegressor(),0.871543668922885,67.68635405549092,0.02942908648030971,35.21987381181296,49.9187768257066,0.8768008140851522,0.5392334500734208,-74.3971356469424,0.043507478165362025,-50.45780411323434,-57.64815531918064,0.6540219230235174,2,2,2,7,5,3,1,3,1,6,4,6,21
"RandomForestRegressor(max_depth=10, n_estimators=500)",0.8518646790430126,72.68631902047031,0.031139761675256908,36.71600000000001,50.20784761172162,0.8598319221701287,0.4733385664108848,-76.33149378342867,0.046062926292226865,-47.19384649792931,-56.67957099634212,0.655205074349922,6,6,3,9,6,7,4,4,3,3,3,5,22
AdaBoostRegressor(),0.8499409726913776,73.15675410225985,0.043380451505989265,33.39999999999998,54.36625789295813,0.85243468459675,0.486444566698648,-71.58269277572394,0.047265807708271435,-50.762688385960445,-59.124107850345766,0.6555241779381047,8,8,8,5,7,9,3,0,4,7,5,4,23
DecisionTreeRegressor(),0.8981633993777538,60.26640855401954,0.021695085173404863,30.0,44.36,0.8982388114660109,0.43268451222092097,-82.83356807478475,0.0486574986268241,-35.1,-54.19166666666668,0.5828696727826569,1,1,1,3,1,1,6,6,5,0,1,11,29
BaggingRegressor(),0.798388473731112,84.79710844126704,0.04225833215180845,29.5,55.72800000000001,0.8164663366898068,0.46522466852193745,-85.42643093659072,0.05129413348064725,-47.915000000000006,-64.22852564102564,0.5586017527322371,11,11,7,2,8,10,5,9,6,4,8,12,44
"MLPRegressor(alpha=0.001, hidden_layer_sizes=(30, 9), max_iter=60,
             solver='lbfgs')",0.8515641083640152,72.76002293225962,0.0668738875148192,54.69878610123425,59.39300306203046,0.864735783941189,0.42565729451838613,-84.68509468769416,0.05680123288513966,-48.90132839752319,-67.56791624413758,0.5529193171240158,7,7,10,14,10,6,8,8,8,5,11,13,53
"SVR(C=1.6, cache_size=4000, epsilon=0.01, gamma=4, kernel='poly')",0.8400677215387725,75.52512047186549,0.07039895673768717,43.52078517377356,58.21105352910727,0.8566472078871461,0.427475339209602,-83.9725261747137,0.13507759738336558,-52.477768710808235,-64.32002005525054,0.6467406715230464,9,9,11,10,9,8,7,7,14,9,9,7,53
KNeighborsRegressor(weights='distance'),0.9355991302537615,47.92578452212395,0.021111049395602457,23.352142201398124,33.254351896286636,0.9424612883932871,0.40745720016165105,-89.23653036351664,0.06044273027584284,-50.93369562844472,-66.24994151302585,0.6716313005503961,0,0,0,0,0,0,10,13,10,8,10,2,53
LGBMRegressor(),0.8051575890845917,83.3614215273055,0.058430210821221476,49.7905384970299,65.4092140889021,0.8148764431903344,0.41530294858137057,-80.85976646105831,0.05955015910062743,-56.09426663244128,-63.98432416689856,0.5486309042135005,10,10,9,11,11,11,9,5,9,10,7,14,54
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.07, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.8686366432456978,68.44795592666624,0.032463799640674286,36.488037109375,45.563305053710934,0.8762456191596655,0.37490499632438434,-87.17861571944108,0.051324662955273555,-57.82516098022461,-63.83122803614691,0.5978099014798073,3,3,5,8,3,4,13,10,7,11,6,10,57
"Lasso(alpha=0.3, max_iter=8000)",0.794386536268993,85.63457350102563,0.0865513326078583,50.26407769373293,68.23993326146771,0.8096491094053753,0.39523970632417676,-88.65914346261549,0.06961310240979955,-62.20669067733068,-69.53163888283969,0.6378354617229902,13,13,12,12,14,13,12,11,11,14,12,8,68
LinearRegression(positive=True),0.7953888548974055,85.42559402405853,0.09066393181851541,52.76549146268553,68.15117907130679,0.8122531016309298,0.3970144723115043,-89.14002602496913,0.07169982969768993,-62.12730602516537,-70.07926894832961,0.627789097677913,12,12,13,13,13,12,11,12,12,13,13,9,70
Ridge(),0.7812734892195429,88.32305388913694,0.0913599010014911,35.05647073958505,66.78755373856359,0.7917259175639662,0.31793985798944996,-89.86377850090302,0.07998484873720604,-62.00244387019014,-71.1125853754374,0.663406303059912,14,14,14,6,12,14,14,14,13,12,14,3,70
