iter	RMSE
0	181.2525221
1	180.1916758
2	179.3203607
3	178.3414728
4	177.2296296
5	176.2175515
6	175.1434191
7	174.0467046
8	172.9649674
9	172.0401305
10	171.0428594
11	169.9885948
12	169.0112599
13	167.9747027
14	167.1437054
15	166.1460246
16	165.2402162
17	164.2579223
18	163.4618714
19	162.6346407
20	161.631406
21	160.9465972
22	159.9880315
23	159.2107776
24	158.4801332
25	157.6329054
26	156.7275914
27	155.9069396
28	154.8800419
29	153.9819378
30	153.0637733
31	152.1747169
32	151.3734566
33	150.5222616
34	149.6896758
35	148.8845002
36	148.0853952
37	147.3722463
38	146.4857587
39	145.6584939
40	144.9708233
41	144.3399802
42	143.5832966
43	142.9357525
44	142.2979919
45	141.6947889
46	140.9375602
47	140.1748943
48	139.5115572
49	138.7995609
50	138.0620959
51	137.2521703
52	136.6110151
53	135.8550231
54	135.2322736
55	134.6028072
56	133.9372889
57	133.3477095
58	132.7614562
59	132.0775658
60	131.3880645
61	130.707986
62	130.0367265
63	129.4157532
64	128.80951
65	128.1379169
66	127.4088562
67	126.9239183
68	126.2933609
69	125.6617541
70	125.0637662
71	124.4958705
72	124.0119272
73	123.3364721
74	123.0414249
75	122.4431835
76	121.890744
77	121.2569508
78	120.6135058
79	120.0480185
80	119.517904
81	118.9553174
82	118.4182958
83	117.8457315
84	117.2986883
85	116.8251925
86	116.3411033
87	115.8086578
88	115.4326094
89	114.8181474
90	114.2839729
91	113.6646625
92	113.2191073
93	112.7651815
94	112.298986
95	111.799352
96	111.4272641
97	110.981671
98	110.4064286
99	109.9551559
100	109.4081755
101	108.8715269
102	108.3370813
103	107.9180036
104	107.4595536
105	107.0007807
106	106.5300643
107	106.0751004
108	105.5545269
109	105.1771034
110	104.6948426
111	104.1950072
112	103.8178124
113	103.378319
114	102.9065519
115	102.4925054
116	102.0593621
117	101.5290139
118	101.1310755
119	100.6763159
120	100.2492021
121	99.85795853
122	99.4624728
123	99.04759443
124	98.65476831
125	98.27422608
126	97.92892219
127	97.53112538
128	97.13195752
129	96.68049655
130	96.24756048
131	95.87208905
132	95.63384996
133	95.26838932
134	94.92426674
135	94.5613263
136	94.15607348
137	93.84252767
138	93.50976223
139	93.09643737
140	92.79258704
141	92.38991892
142	92.15418625
143	91.77203986
144	91.34654352
145	91.0120353
146	90.58946807
147	90.28242756
148	89.91517398
149	89.58403113
150	89.24917404
151	88.89864456
152	88.49786591
153	88.1837432
154	87.8751966
155	87.55277582
156	87.29496684
157	87.00199728
158	86.7125823
159	86.41335377
160	86.05908958
161	85.72084126
162	85.52488011
163	85.23845102
164	85.02609715
165	84.78233104
166	84.42591246
167	84.19175552
168	83.90170871
169	83.69458258
170	83.4721564
171	83.1842322
172	82.83364047
173	82.60697227
174	82.26628583
175	81.95271853
176	81.71161302
177	81.49233106
178	81.30857155
179	81.06668019
180	80.77876524
181	80.57721077
182	80.31150084
183	80.05626459
184	79.76261484
185	79.52067334
186	79.34577066
187	79.15918768
188	78.92126402
189	78.70762273
190	78.44959667
191	78.23318114
192	77.94395924
193	77.69042231
194	77.4571819
195	77.21078424
196	77.01809797
197	76.8108268
198	76.63005744
199	76.3991954
200	76.18710726
201	75.92314283
202	75.72196545
203	75.50837358
204	75.28806219
205	75.02096581
206	74.82827776
207	74.63746802
208	74.38813431
209	74.14808345
210	73.98519153
211	73.79153997
212	73.54531269
213	73.37069178
214	73.16988913
215	73.00443154
216	72.77585553
217	72.53004218
218	72.34545795
219	72.17140967
220	72.00629694
221	71.86171084
222	71.64537049
