Index,HV,Al,Co,Cr,Cu,Fe,Ni
1,418,18.2,18.2,18.2,18.2,9.1,18.2
2,423,18.2,18.2,18.2,18.2,18.2,9.1
3,143,0.0,0.0,25.0,25.0,25.0,25.0
4,146,0.0,5.0,23.8,23.8,23.8,23.8
5,150,0.0,10.0,22.5,22.5,22.5,22.5
6,158,0.0,15.0,21.3,21.3,21.3,21.3
7,175,0.0,33.3,16.7,16.7,16.7,16.7
8,154,0.0,25.0,0.0,25.0,25.0,25.0
9,153,0.0,23.8,5.0,23.8,23.8,23.8
10,158,0.0,22.5,10.0,22.5,22.5,22.5
11,161,0.0,21.3,15.0,21.3,21.3,21.3
12,172,0.0,16.7,33.3,16.7,16.7,16.7
13,183,0.0,25.0,25.0,25.0,0.0,25.0
14,182,0.0,23.8,23.8,23.8,5.0,23.8
15,172,0.0,22.5,22.5,22.5,10.0,22.5
16,171,0.0,21.3,21.3,21.3,15.0,21.3
17,157,0.0,16.7,16.7,16.7,33.3,16.7
18,170,0.0,22.5,22.5,22.5,22.5,10.0
19,167,0.0,21.3,21.3,21.3,21.3,15.0
20,158,0.0,16.7,16.7,16.7,16.7,33.3
21,140,0.0,26.7,26.7,0.0,26.7,20.0
22,125,0.0,20.0,20.0,0.0,20.0,40.0
23,242,14.3,14.3,14.3,0.0,14.3,42.9
24,265,15.4,15.4,15.4,0.0,15.4,38.5
25,335,16.7,16.7,16.7,0.0,16.7,33.3
26,170,0.0,28.3,28.3,0.0,28.3,15.0
27,475,5.0,31.7,31.7,0.0,31.7,0.0
28,620,10.0,30.0,30.0,0.0,30.0,0.0
29,503,18.2,18.2,18.2,0.0,18.2,27.3
30,555,21.3,21.3,21.3,0.0,21.3,15.0
31,548,22.5,22.5,22.5,0.0,22.5,10.0
32,615,23.8,23.8,23.8,0.0,23.8,5.0
33,720,25.0,25.0,25.0,0.0,25.0,0.0
34,539,22.5,10.0,22.5,0.0,22.5,22.5
35,532,16.7,33.3,16.7,0.0,16.7,16.7
36,438,23.8,23.8,5.0,0.0,23.8,23.8
37,476,22.5,22.5,10.0,0.0,22.5,22.5
38,510,21.3,21.3,15.0,0.0,21.3,21.3
39,665,23.8,23.8,23.8,0.0,5.0,23.8
40,587,22.5,22.5,22.5,0.0,10.0,22.5
41,558,21.3,21.3,21.3,0.0,15.0,21.3
42,510,16.7,16.7,16.7,0.0,33.3,16.7
43,655,15.0,28.3,28.3,0.0,28.3,0.0
44,695,20.0,26.7,26.7,0.0,26.7,0.0
45,185,5.7,18.9,18.9,18.9,18.9,18.9
46,273,13.8,17.2,17.2,17.2,17.2,17.2
47,475,20.6,15.9,15.9,15.9,15.9,15.9
48,558,26.5,14.7,14.7,14.7,14.7,14.7
49,510,23.1,15.4,15.4,15.4,15.4,15.4
50,603,31.5,13.7,13.7,13.7,13.7,13.7
51,625,33.3,13.3,13.3,13.3,13.3,13.3
52,655,35.9,12.8,12.8,12.8,12.8,12.8
53,735,37.5,12.5,12.5,12.5,12.5,12.5
54,118,2.4,24.4,24.4,0.0,24.4,24.4
55,127,9.1,22.7,22.7,0.0,22.7,22.7
56,338,14.9,21.3,21.3,0.0,21.3,21.3
57,382,16.7,20.8,20.8,0.0,20.8,20.8
58,527,18.4,20.4,20.4,0.0,20.4,20.4
59,479,23.1,19.2,19.2,0.0,19.2,19.2
60,482,31.0,17.2,17.2,0.0,17.2,17.2
61,166,14.3,42.9,0.0,14.3,14.3,14.3
62,536,20.0,20.0,0.0,20.0,20.0,20.0
63,531,23.8,4.8,0.0,23.8,23.8,23.8
64,545,22.2,11.1,0.0,22.2,22.2,22.2
65,366,18.2,27.3,0.0,18.2,18.2,18.2
66,249,16.7,33.3,0.0,16.7,16.7,16.7
67,110,5.9,23.5,23.5,0.0,23.5,23.5
68,131,8.6,22.9,22.9,0.0,22.9,22.9
69,388,15.8,21.1,21.1,0.0,21.1,21.1
70,538,17.9,20.5,20.5,0.0,20.5,20.5
71,487,23.8,19.0,19.0,0.0,19.0,19.0
72,162,3.8,0.0,19.2,19.2,19.2,38.5
73,170,5.7,0.0,18.9,18.9,18.9,37.7
74,200,7.4,0.0,18.5,18.5,18.5,37.0
75,238,9.1,0.0,18.2,18.2,18.2,36.4
76,278,10.7,0.0,17.9,17.9,17.9,35.7
77,290,12.3,0.0,17.5,17.5,17.5,35.1
