,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
ExtraTreesRegressor(),0.9233897726632936,46.84608034830662,0.01912508616286109,16.00999999999999,32.174,0.9260865117337452,0.5881264121206484,-69.42308685350451,0.0327980191859425,-36.0255,-49.87373717948718,0.7533556458000996,0,0,5,0,0,0,2,0,0,0,0,0,2
<catboost.core.CatBoostRegressor object at 0x0000023A7840A0A0>,0.8825190149109897,58.011443631007324,0.019809346482257073,21.872949359132235,40.62754922534515,0.8910495877212931,0.5300108227690735,-74.3779150168622,0.041671370045151514,-44.463531778593484,-57.75773640034838,0.7123733691924915,7,7,7,2,1,6,7,1,2,3,1,3,17
"SVR(C=1.6, cache_size=4000, epsilon=0.09, gamma=4, kernel='poly')",0.8959967462774611,54.58249033921056,0.04232611054816435,46.602253552331376,44.52843511073925,0.9057701635835261,0.611884552895826,-75.69937606974902,0.091498046510616,-50.72555327830767,-57.83691543859061,0.7378467854855997,2,2,13,14,9,2,1,2,14,7,2,1,27
"MLPRegressor(hidden_layer_sizes=(30, 8), max_iter=60, solver='lbfgs')",0.9105971872450258,50.60640359120495,0.013497020219490619,37.615081948273996,41.12539518312236,0.9123010972641205,0.6843782125422158,-77.85088009553445,0.04731978681849363,-55.57015344684346,-58.93491227425869,0.7046376734444851,1,1,0,11,3,1,0,5,5,12,4,5,31
GradientBoostingRegressor(),0.8889496755868718,56.40138896098353,0.01921228583693299,36.05215935548051,44.33100521793219,0.8957159876506225,0.52325322988276,-76.92203155698596,0.041322087834390245,-47.26149605779045,-59.2414279103758,0.6795116540951598,5,5,6,10,7,5,8,4,1,5,5,9,32
BaggingRegressor(),0.8593648134875401,63.47122497636232,0.020997017518783103,21.600000000000023,44.516000000000005,0.8645368802299608,0.4873402900697051,-78.41660550693818,0.04461048671412566,-43.925,-59.29339743589743,0.6739286739222582,11,11,8,1,8,12,11,6,3,2,6,11,39
LGBMRegressor(),0.887948252362806,56.65512481328161,0.017276592641366616,30.258907970442536,42.907220779318514,0.9053739297760722,0.5821382471822477,-76.60294228091348,0.05017105723343845,-53.26160293877756,-60.72886339399655,0.6775527411084057,6,6,3,4,6,3,3,3,7,9,8,10,40
"RandomForestRegressor(max_depth=10, min_samples_split=5, n_estimators=50)",0.8762213792423655,59.546015066124944,0.018192962580134208,27.086065934065914,42.864586464646436,0.8795196798993098,0.5483580337734832,-79.56432359885332,0.05228657917234529,-51.59778868378,-62.35529931977345,0.7052267726670409,8,8,4,3,5,9,6,7,8,8,10,4,43
"KNeighborsRegressor(n_neighbors=3, p=1, weights='distance')",0.889965909215573,56.14272821229675,0.03544775458088865,34.20568121554186,40.84495627188031,0.890455334419622,0.5608312559090454,-80.00455941210645,0.06013994006756807,-45.153364464549725,-59.558518567643866,0.6695317494179983,4,4,12,7,2,7,5,8,9,4,7,12,45
AdaBoostRegressor(),0.8520710728134495,65.09631990191609,0.02514021113398021,39.09090909090912,50.370894064955046,0.8672142451420002,0.5652894437266826,-84.20466119129954,0.04988661216958377,-54.05909935114629,-62.49570070858722,0.703950281815618,13,13,9,12,13,11,4,10,6,10,11,6,47
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.09, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=350, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.8931324081294597,55.32900943253838,0.016894645834586452,30.75714111328125,41.72047912597656,0.8980084164819118,0.4783356084750482,-82.01445194958849,0.046017431395259774,-49.5132942199707,-60.82455387604542,0.6677265396008548,3,3,2,5,4,4,12,9,4,6,9,13,53
DecisionTreeRegressor(),0.8523088348383585,65.04398511776473,0.015394219029071829,31.0,47.28,0.8529129599583904,0.40111764355881113,-84.47699580662668,0.06767149067856107,-39.4,-58.44294871794872,0.6438404969369829,12,12,1,6,10,14,14,11,11,1,3,14,54
"Lasso(alpha=0.2, max_iter=4000)",0.8644065751991691,62.32312169359891,0.033886818389393884,34.90740539582646,49.505870485897994,0.8766297534908487,0.5154166139321326,-86.71746188933253,0.06586132191577225,-55.36418544537844,-69.03836445475424,0.6984362807037384,9,9,11,8,12,10,9,12,10,11,12,7,61
LinearRegression(positive=True),0.8452710348835886,66.57569269771689,0.04582639645570428,39.87022253117357,51.193027475950515,0.8572890168260121,0.5083531158223739,-87.56520824766936,0.06769385796276295,-56.8971314459724,-70.08732063524478,0.6841813094546988,14,14,14,13,14,13,10,13,12,13,13,8,69
Ridge(),0.8605107320261601,63.21210909759627,0.03242368131171533,35.02277190919699,49.00146771581889,0.8795828347222325,0.4780118566753503,-87.83648256292358,0.07939910593035011,-59.14272232845009,-70.5989873279467,0.7181578724509026,10,10,10,9,11,8,13,14,13,14,14,2,70
