,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
ExtraTreesRegressor(),0.8310849070270107,88.86900980963753,0.03652632021470333,28.14,60.06863636363635,0.8722210917965675,0.42657358233284864,-76.93261861820736,0.04497242722714268,-38.15700000000001,-53.173190909090906,0.5662290473272955,1,1,0,1,1,1,0,0,0,0,0,1,1
<catboost.core.CatBoostRegressor object at 0x000001D6558A2820>,0.8346247405436028,87.93289715119747,0.04268879487020323,46.41381661545195,64.42802737759331,0.8632867449047196,-0.21549773763780683,-77.66170129799922,0.04628194590847257,-45.514971898694306,-56.466125263610344,0.6250522725276921,0,0,1,8,3,5,8,1,1,5,3,0,18
AdaBoostRegressor(),0.8077594738329659,94.80660310033008,0.05363611166146277,52.79044117647058,68.9967006001874,0.8556174361453441,0.15390226005351598,-85.13353553477944,0.06015892016115316,-39.59773650194464,-53.63275318298323,0.2203759198035286,8,8,5,10,7,8,1,6,5,1,1,7,21
"RandomForestRegressor(max_depth=26, min_samples_leaf=2, n_estimators=50)",0.813608637390535,93.3531559554031,0.04562680576474749,39.2568571428571,66.24537698412699,0.859025861859299,0.03436581565446025,-83.32036520283152,0.061713638666527834,-44.52992142857143,-59.986818910533906,0.4204704194278321,5,5,3,5,4,7,4,3,6,3,6,3,25
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.11, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=50, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.815508812548123,92.87609049374737,0.04414323728090687,37.230369567871094,67.45258816805753,0.8794937271488203,0.11720181095776121,-87.040716554896,0.05199200672903812,-54.780897521972655,-59.87973136208274,0.42856668285168353,3,3,2,3,6,0,2,9,2,10,5,2,30
GradientBoostingRegressor(),0.825394397139292,90.35354583893975,0.055048388891137015,38.24460520816001,64.07382620209704,0.8678513923581302,-0.291714224457701,-83.42091066885871,0.06007861916967749,-41.063407471265144,-56.15182467535929,0.06914674467188267,2,2,6,4,2,3,10,4,4,2,2,9,31
BaggingRegressor(),0.8079319610827165,94.76406108186411,0.04788488845848997,47.94999999999999,67.38181818181819,0.8697333395140188,-0.12178524464879259,-85.01006250599235,0.06956824373201939,-44.739999999999995,-56.95472727272727,0.2513871566686845,7,7,4,9,5,2,7,5,8,4,4,6,34
LGBMRegressor(),0.7937180720920185,98.20796314578249,0.0671627744970639,59.74573781944332,78.59668149007021,0.8415333281384982,-0.07115735610834759,-81.89748377175178,0.05939040724888647,-48.08218889421224,-60.42996950022668,0.03805745719390624,9,9,11,13,11,9,6,2,3,7,7,10,35
"Lasso(alpha=0.8, max_iter=3000)",0.7536814441669467,107.31604965794456,0.08027132796824094,44.39310401671169,78.8326607126599,0.8257849950224299,-0.059466083219775055,-87.87722454423434,0.06911411940626859,-54.784672169710596,-65.87752604686989,0.10353486596190065,12,12,12,6,12,13,5,11,7,11,8,8,50
Ridge(),0.7297061584061537,112.41756868560324,0.08456461279317301,44.91791487684077,84.74948292281123,0.8011227044713749,-0.3293028463065869,-86.88406990082937,0.07645464578375828,-53.06520831716396,-67.23592732686647,0.25645249507004275,14,14,13,7,14,14,11,8,11,9,12,5,56
"SVR(C=1.6, cache_size=4000, epsilon=0.02, gamma=4, kernel='poly')",0.8153022179527971,92.92807761023202,0.0647205921787365,53.95102847011802,69.19029634547366,0.8646918898640963,-0.5850437965237619,-86.84679033175603,0.12594477782172453,-52.14411807530562,-66.12220046136297,-0.32424813886773507,4,4,10,11,8,4,12,7,14,8,9,12,62
"MLPRegressor(alpha=0.001, hidden_layer_sizes=(50, 9), max_iter=60,
             solver='lbfgs')",0.7836978126080075,100.56493300337179,0.06105892383049855,35.53176355938173,69.78459487859404,0.8291050207077644,0.05219896033152623,-92.93646198781329,0.07176594133504993,-55.073420169092586,-68.58891303948674,-0.3275537493742541,11,11,8,2,9,12,3,13,9,12,13,13,63
LinearRegression(positive=True),0.7507873650387138,107.94465471425141,0.09783981225009963,58.28961218369477,80.00571683773515,0.8312860728613856,-0.2793550338203204,-87.81146167451908,0.07222444251096968,-57.9472555194644,-66.33261108897821,-0.16255472581835043,13,13,14,12,13,11,9,10,10,13,10,11,63
DecisionTreeRegressor(),0.8100999145501097,94.22772222845906,0.0630086509185531,22.5,57.40909090909091,0.8630846354274264,-2.434351855934491,-91.97501142850012,0.0901689802244283,-48.0,-66.67636363636363,-2.360458446051104,6,6,9,0,0,6,14,12,12,6,11,14,69
"KNeighborsRegressor(n_neighbors=10, weights='distance')",0.7838053843922299,100.53992332885402,0.057840159993371325,67.41926933345626,76.05269506969661,0.8325517691507056,-1.137376689122493,-112.03129111525682,0.10466304980963136,-86.3943836156383,-89.73593252091693,0.32423638613611705,10,10,7,14,10,10,13,14,13,14,14,4,72
