iter	Passed	Remaining
0	7	4395
1	22	6909
2	38	7859
3	55	8632
4	75	9371
5	97	9963
6	115	10177
7	134	10343
8	155	10564
9	174	10667
10	194	10796
11	214	10898
12	235	11030
13	257	11182
14	281	11395
15	301	11432
16	319	11365
17	339	11389
18	359	11405
19	377	11368
20	397	11367
21	415	11318
22	435	11346
23	459	11437
24	482	11518
25	502	11509
26	523	11540
27	543	11536
28	568	11624
29	590	11648
30	611	11652
31	630	11622
32	650	11604
33	669	11577
34	671	11265
35	691	11257
36	712	11263
37	730	11228
38	735	10995
39	757	11017
40	776	11002
41	792	10942
42	812	10939
43	833	10948
44	854	10956
45	875	10960
46	896	10962
47	898	10744
48	920	10769
49	941	10770
50	964	10798
51	992	10880
52	1015	10904
53	1035	10896
54	1055	10883
55	1074	10865
56	1076	10674
57	1095	10654
58	1114	10631
59	1134	10623
60	1139	10480
61	1159	10475
62	1179	10463
63	1198	10451
64	1217	10437
65	1236	10418
66	1253	10382
67	1270	10353
68	1290	10344
69	1310	10333
70	1331	10332
71	1348	10304
72	1365	10268
73	1382	10235
74	1398	10200
75	1414	10164
76	1418	10040
77	1434	10007
78	1436	9872
79	1456	9869
80	1476	9862
81	1495	9850
82	1514	9833
83	1534	9826
84	1554	9823
85	1574	9810
86	1591	9789
87	1609	9765
88	1626	9741
89	1645	9727
90	1665	9716
91	1685	9711
92	1696	9650
93	1716	9644
94	1741	9663
95	1745	9561
96	1752	9483
97	1777	9506
98	1797	9497
99	1817	9484
100	1833	9459
101	1852	9442
102	1872	9434
103	1889	9411
104	1907	9390
105	1925	9372
106	1945	9361
107	1965	9351
108	1985	9345
109	1987	9249
110	1988	9152
111	2008	9146
112	2030	9148
113	2049	9135
114	2066	9111
115	2084	9092
116	2103	9081
117	2126	9081
118	2145	9070
119	2166	9064
120	2186	9053
121	2207	9046
122	2227	9037
123	2249	9032
124	2267	9015
125	2277	8965
126	2298	8958
127	2310	8916
128	2332	8915
129	2354	8911
130	2374	8900
131	2394	8890
132	2414	8878
133	2434	8867
134	2453	8851
135	2473	8839
136	2475	8764
137	2494	8749
138	2516	8743
139	2518	8669
140	2540	8665
141	2550	8620
142	2551	8547
143	2569	8528
144	2590	8523
145	2613	8522
146	2637	8523
147	2658	8513
148	2679	8505
149	2702	8503
150	2728	8511
151	2755	8520
152	2781	8525
153	2806	8527
154	2830	8527
155	2855	8531
156	2881	8535
157	2907	8539
158	2933	8542
159	2957	8540
160	2981	8536
161	3007	8541
162	3034	8546
163	3063	8555
164	3090	8559
165	3117	8563
166	3145	8569
167	3170	8568
168	3172	8504
169	3198	8504
170	3224	8505
171	3249	8502
172	3252	8441
173	3279	8442
174	3307	8448
175	3308	8385
176	3334	8384
177	3360	8381
178	3387	8382
179	3411	8376
180	3438	8377
181	3463	8372
182	3488	8367
183	3513	8364
184	3538	8358
185	3562	8351
186	3586	8343
187	3613	8341
188	3638	8335
189	3639	8274
190	3665	8271
191	3690	8265
192	3714	8257
193	3721	8210
194	3736	8181
195	3763	8180
196	3789	8174
197	3813	8165
198	3824	8128
199	3849	8121
200	3851	8067
201	3874	8055
202	3897	8044
203	3903	7998
204	3928	7991
205	3954	7986
206	3979	7978
207	4006	7974
208	4030	7965
209	4058	7961
210	4082	7952
211	4088	7907
212	4113	7899
213	4139	7892
214	4144	7846
215	4169	7836
216	4195	7830
217	4220	7821
218	4226	7777
219	4253	7772
220	4280	7766
221	4304	7756
222	4331	7749
223	4358	7744
224	4379	7727
225	4405	7719
226	4428	7706
227	4448	7686
228	4467	7666
229	4477	7630
230	4498	7614
231	4522	7601
232	4525	7555
233	4549	7543
234	4573	7531
235	4595	7515
236	4616	7500
237	4639	7485
238	4657	7462
239	4658	7415
240	4660	7367
241	4676	7344
242	4696	7325
243	4716	7306
244	4738	7291
245	4750	7260
246	4771	7244
247	4793	7229
248	4814	7211
249	4833	7192
250	4852	7171
251	4870	7150
252	4888	7130
253	4907	7109
254	4927	7091
255	4944	7069
256	4960	7045
257	4961	7000
258	4980	6979
259	4997	6958
260	5016	6938
261	5036	6920
262	5057	6903
263	5066	6870
264	5085	6850
265	5103	6830
266	5124	6814
267	5145	6797
268	5166	6780
269	5187	6762
270	5205	6742
271	5215	6710
272	5233	6690
273	5252	6671
274	5254	6629
275	5256	6589
276	5258	6549
277	5280	6533
278	5302	6519
279	5323	6501
280	5342	6483
281	5351	6452
282	5371	6435
283	5393	6418
284	5412	6400
285	5429	6379
286	5447	6358
287	5465	6337
288	5486	6321
289	5505	6303
290	5525	6285
291	5545	6266
292	5565	6249
293	5586	6232
294	5607	6215
295	5626	6197
296	5644	6176
297	5663	6157
298	5684	6140
299	5705	6123
300	5707	6086
301	5729	6071
302	5753	6057
303	5778	6045
304	5805	6033
305	5807	5997
306	5831	5983
307	5852	5966
308	5873	5949
309	5894	5932
310	5904	5904
311	5922	5884
312	5940	5864
313	5958	5845
314	5976	5825
315	5996	5806
316	6016	5788
317	6018	5753
318	6027	5725
319	6029	5690
320	6051	5674
321	6073	5658
322	6095	5642
323	6116	5625
324	6137	5608
325	6156	5589
326	6158	5556
327	6178	5537
328	6201	5523
329	6224	5508
330	6226	5474
331	6248	5457
332	6250	5425
333	6273	5409
334	6278	5379
335	6299	5362
336	6323	5347
337	6335	5323
338	6357	5307
339	6380	5291
340	6401	5275
341	6405	5244
342	6424	5225
343	6446	5209
344	6468	5193
345	6488	5176
346	6494	5146
347	6504	5121
348	6506	5089
349	6526	5072
350	6547	5055
351	6570	5039
352	6591	5023
353	6594	4992
354	6615	4975
355	6633	4956
356	6653	4939
357	6673	4921
358	6695	4904
359	6713	4886
360	6732	4867
361	6752	4849
362	6772	4831
363	6790	4813
364	6809	4794
365	6829	4776
366	6846	4757
367	6863	4737
368	6882	4719
369	6899	4699
370	6917	4680
371	6936	4661
372	6956	4643
373	6975	4625
374	6995	4607
375	7016	4590
376	7036	4572
377	7047	4549
378	7067	4531
379	7086	4513
380	7106	4495
381	7128	4478
382	7154	4464
383	7178	4449
384	7201	4433
385	7222	4415
386	7241	4397
387	7259	4378
388	7278	4359
389	7298	4341
390	7319	4324
391	7338	4305
392	7357	4287
393	7377	4269
394	7382	4242
395	7394	4220
396	7419	4204
397	7425	4179
398	7436	4156
399	7457	4138
400	7476	4120
401	7477	4092
402	7496	4073
403	7516	4055
404	7519	4028
405	7536	4009
406	7555	3991
407	7574	3973
408	7595	3955
409	7616	3938
410	7639	3921
411	7658	3903
412	7679	3886
413	7697	3867
414	7714	3848
415	7734	3830
416	7735	3803
417	7754	3784
418	7773	3766
419	7791	3747
420	7811	3729
421	7832	3711
422	7852	3694
423	7871	3675
424	7890	3657
425	7907	3637
426	7923	3618
427	7942	3599
428	7963	3582
429	7981	3563
430	7990	3540
431	8007	3521
432	8026	3503
433	8047	3486
434	8067	3467
435	8086	3449
436	8097	3428
437	8117	3410
438	8138	3392
439	8159	3375
440	8181	3358
441	8203	3340
442	8222	3322
443	8241	3304
444	8260	3285
445	8279	3267
446	8299	3249
447	8318	3230
448	8338	3212
449	8359	3195
450	8379	3176
451	8398	3158
452	8417	3140
453	8436	3122
454	8456	3103
455	8474	3085
456	8494	3066
457	8513	3048
458	8514	3023
459	8534	3005
460	8539	2982
461	8558	2963
462	8580	2946
463	8602	2929
464	8623	2911
465	8644	2893
466	8663	2875
467	8673	2854
468	8696	2836
469	8697	2812
470	8719	2795
471	8743	2778
472	8745	2754
473	8765	2737
474	8786	2719
475	8806	2701
476	8826	2683
477	8827	2659
478	8837	2638
479	8856	2620
480	8879	2602
481	8900	2585
482	8920	2567
483	8942	2549
484	8964	2532
485	8966	2509
486	8985	2490
487	9006	2473
488	9025	2454
489	9046	2436
490	9057	2416
491	9075	2398
492	9095	2379
493	9116	2362
494	9140	2345
495	9164	2328
496	9184	2310
497	9204	2291
498	9222	2273
499	9240	2254
500	9257	2235
501	9276	2217
502	9295	2199
503	9313	2180
504	9332	2162
505	9333	2139
506	9354	2121
507	9376	2104
508	9397	2086
509	9416	2067
510	9436	2049
511	9459	2032
512	9480	2014
513	9501	1996
514	9503	1974
515	9526	1956
516	9550	1939
517	9574	1922
518	9596	1904
519	9616	1886
520	9638	1868
521	9660	1850
522	9662	1829
523	9682	1810
524	9703	1792
525	9724	1774
526	9745	1756
527	9764	1738
528	9783	1720
529	9807	1702
530	9831	1684
531	9857	1667
532	9878	1649
533	9880	1628
534	9901	1610
535	9921	1591
536	9942	1573
537	9959	1555
538	9978	1536
539	9996	1518
540	10013	1499
541	10030	1480
542	10051	1462
543	10071	1444
544	10091	1425
545	10094	1405
