index,Phase,DelH,DelS,Tm/K ,DelO,DelR,DelK,Erms,VEC,e/a
306,0,-2.9813,11.4674,1366.07,5.25,4.0574,0.2362,0.020406,9.87,1.73
138,0,-0.875,12.9664,2420.03,35.86,5.3097,0.2442,0.024234,4.63,1.63
1,0,-16.25,11.5257,1938.96,1.38,3.3733,0.0334,0.024763,4.25,2
308,1,-2.2044,12.5942,1676.18,9.58,4.0149,0.113,0.040594,8.46,1.73
253,0,-2.662,12.9776,2335.09,11.38,6.0284,0.251,0.028388,4.83,1.67
562,2,-6.3633,15.7797,1700.2,4.22,5.0095,0.1268,0.036915,7.97,1.75
527,2,-10.8489,13.3284,1713.49,2.11,4.8785,0.1171,0.03721,7.43,1.95
426,1,-4.16,13.3809,1790.32,5.76,2.074,0.1384,0.052524,8,1.8
219,0,-4.32,13.3809,2368.55,7.34,5.3644,0.2256,0.031972,5.2,1.4
355,1,-6.8103,12.7211,1802.63,3.37,3.3131,0.1062,0.046306,7.94,1.83
453,1,-3.82,12.6875,1934.22,6.42,3.4162,0.1253,0.043352,8.25,1.75
316,1,-5.0244,12.1904,1835.92,4.45,2.27,0.1008,0.04713,8.12,1.78
599,2,-11.2484,14.8876,1662.21,2.2,4.7366,0.1392,0.037636,7.25,1.98
369,1,-4.9936,13.8277,1777.47,4.92,2.548,0.1386,0.052148,7.93,1.82
5,0,-6.3296,14.5,2383.01,5.46,4.1816,0.1106,0.020853,4.32,1.88
16,0,-12.8,13.3809,2129.2,2.23,3.126,0.229,0.026664,4.6,1.8
33,0,-13.1052,14.2419,1693.25,1.84,5.2746,0.1216,0.025451,7.11,2
567,2,-5.6112,15.9807,1770.03,5.04,4.074,0.122,0.037456,7.68,1.78
600,2,-11.6259,14.8951,1653.64,2.12,4.8337,0.1391,0.037624,7.2,1.99
17,0,-12.32,13.3809,1673.17,1.82,5.3228,0.1206,0.024917,7.2,2
463,1,-4.9856,9.6698,1891.06,3.67,1.7339,0.1187,0.04507,8.3,1.66
584,2,-13.8125,17.2885,1728.99,2.16,5.7804,0.1403,0.037263,7,1.88
81,0,-22.7443,14.7834,1656.11,1.08,6.5761,0.1401,0.022051,6.38,2.08
483,1,-10.8182,12.8695,1845.04,2.19,4.4486,0.1222,0.04109,8.08,1.82
391,1,-2.6095,10.3122,1504.9,5.95,3.5281,0.1676,0.038987,9.02,1.73
570,2,-6.6437,15.712,1804.99,4.27,4.0582,0.1241,0.037657,7.47,1.79
20,0,-16.5458,14.2419,1673.57,1.44,5.2541,0.1205,0.039577,7.07,2.08
336,1,0.5239,14.4157,1712.68,47.13,3.1478,0.1034,0.041538,8.48,1.68
384,1,-1.2128,14.6919,1683.82,20.4,3.8498,0.1092,0.040823,8.28,1.73
172,0,2.5058,12.1478,2725.84,13.21,3.3488,0.0983,0.026511,4.67,1.67
197,0,-1.1435,12.6507,2334.49,25.83,5.3083,0.2479,0.023459,4.61,1.61
625,2,-4.6323,13.2962,1601.62,4.6,5.1431,0.1241,0.037088,7.78,1.81
22,0,-15.5938,12.2086,1365.24,1.07,20.5448,0.3054,0.05559,5.07,1.85
