Index,Phase,DelH,DelS,Tm/K ,DelO,DelR,DelK,Erms,VEC,e/a
0,1,-1.2128,14.6919,1683.82,20.4,3.8498,0.1092,0.040823,8.28,1.73
1,0,-16.9883,11.5186,1912.38,1.3,3.3279,0.0335,0.024383,4.22,2.03
2,0,-2.6038,12.7211,2401.22,11.73,5.2897,0.2981,0.024638,4.76,1.53
3,2,-14.23,15.5473,1716.09,1.87,5.7588,0.1328,0.037094,7.28,1.91
4,2,-0.3518,12.8819,1684.11,61.67,2.395,0.1548,0.03774,8.43,1.72
5,1,-4.2928,11.5821,1895.98,5.12,2.8743,0.1202,0.040241,8.5,1.74
6,2,-0.3941,12.5736,1881.7,60.03,2.5896,0.1113,0.039448,6.72,1.71
7,0,-4.9059,9.6082,1855.13,3.63,2.9008,0.0991,0.03402,7.44,1.73
8,0,2.4344,12.4354,2654.74,13.56,3.4009,0.0951,0.025485,4.62,1.69
9,0,-4.1885,14.8703,2765.88,9.82,3.3003,0.333,0.03045,5.15,1.66
10,2,-9.8663,13.2414,1737.53,2.33,4.5528,0.1146,0.037227,7.57,1.91
11,0,1.1371,11.2338,2339.94,23.12,4.3951,0.1019,0.01308,4.14,2.0
12,0,-3.4915,12.6236,2449.96,8.86,5.3051,0.3205,0.025805,4.9,1.48
13,0,-0.3211,12.4861,2181.73,84.84,5.8405,0.1165,0.020614,4.33,1.86
14,2,-4.5115,15.9961,1745.45,6.19,4.0296,0.1194,0.037302,7.86,1.76
15,0,-15.1206,13.2563,2021.58,1.77,2.9849,0.2201,0.02551,4.46,1.91
16,2,-11.9071,11.465,1601.46,1.54,5.429,0.1092,0.036543,7.81,2.2
17,0,-13.44,13.3809,2205.0,2.2,3.3322,0.0445,0.026226,4.4,2.0
18,1,-3.375,14.6919,1773.8,7.72,4.2772,0.1221,0.040819,8.37,1.64
19,2,-7.14,11.8937,1768.92,2.95,3.9038,0.1016,0.037705,7.5,1.9
20,0,-1.92,13.3809,2543.55,17.73,5.2286,0.3075,0.020961,4.6,1.8
21,0,-5.4688,9.827,1841.22,3.31,3.2448,0.1005,0.033777,7.38,1.75
22,0,-7.8524,12.2677,1410.59,2.2,5.9266,0.1251,0.021389,6.15,2.14
23,1,-5.6259,12.7211,1877.13,4.24,1.9323,0.104,0.049051,8.06,1.77
24,2,-8.752,14.6919,1713.2,2.88,4.0233,0.1393,0.037704,7.55,1.91
25,0,-7.5987,12.4105,1422.98,2.32,5.9089,0.1252,0.021658,6.23,2.12
26,2,-3.7453,13.3302,1561.74,5.56,5.2791,0.1213,0.037256,7.15,1.87
