iter	Passed	Remaining
0	31	8164
1	61	7973
2	92	7932
3	121	7762
4	149	7648
5	178	7567
6	208	7520
7	235	7417
8	265	7398
9	292	7317
10	321	7277
11	349	7225
12	380	7237
13	410	7209
14	440	7187
15	468	7149
16	500	7149
17	532	7164
18	565	7176
19	597	7172
20	625	7123
21	655	7091
22	686	7077
23	716	7045
24	745	7007
25	775	6976
26	804	6938
27	834	6910
28	865	6895
29	894	6854
30	924	6832
31	951	6779
32	984	6770
33	1015	6752
34	1046	6724
35	1075	6689
36	1105	6662
37	1132	6616
38	1163	6591
39	1193	6561
40	1223	6537
41	1253	6504
42	1283	6476
43	1315	6457
44	1346	6435
45	1375	6398
46	1404	6367
47	1433	6331
48	1462	6297
49	1490	6260
50	1520	6232
51	1549	6196
52	1581	6175
53	1608	6137
54	1637	6105
55	1668	6077
56	1698	6049
57	1726	6013
58	1754	5978
59	1783	5944
60	1814	5918
61	1843	5885
62	1873	5858
63	1902	5826
64	1929	5788
65	1958	5758
66	1988	5728
67	2017	5695
68	2045	5661
69	2072	5625
70	2100	5590
71	2127	5555
72	2155	5520
73	2181	5483
74	2211	5453
75	2242	5430
76	2270	5396
77	2300	5367
78	2330	5340
79	2358	5305
80	2386	5274
81	2413	5239
82	2427	5177
83	2456	5146
84	2482	5111
85	2512	5082
86	2540	5052
87	2572	5027
88	2601	4999
89	2629	4966
90	2657	4935
91	2687	4906
92	2717	4879
93	2746	4849
94	2775	4820
95	2803	4788
96	2831	4757
97	2863	4733
98	2892	4703
99	2920	4672
100	2948	4642
101	2978	4613
102	3008	4586
103	3037	4556
104	3067	4527
105	3096	4499
106	3125	4469
107	3154	4439
108	3158	4374
109	3191	4352
110	3219	4321
111	3251	4296
112	3280	4267
113	3312	4241
114	3340	4211
115	3371	4185
116	3399	4154
117	3427	4124
118	3454	4092
119	3486	4067
120	3515	4038
121	3541	4006
122	3571	3978
123	3601	3949
124	3631	3921
125	3658	3890
126	3685	3859
127	3715	3831
128	3743	3801
129	3775	3775
130	3801	3743
131	3830	3714
132	3865	3690
133	3895	3662
134	3923	3632
135	3950	3602
136	3981	3574
137	4008	3543
138	4038	3515
139	4064	3483
140	4092	3454
141	4126	3428
142	4155	3399
143	4187	3373
144	4215	3343
145	4245	3315
146	4275	3286
147	4303	3256
148	4331	3226
149	4359	3196
150	4388	3167
151	4420	3141
152	4448	3110
153	4478	3082
154	4509	3054
155	4542	3028
156	4572	2999
157	4602	2971
158	4634	2943
159	4665	2915
160	4697	2888
161	4727	2859
162	4755	2829
163	4784	2800
164	4812	2770
165	4843	2742
166	4869	2711
167	4898	2682
168	4929	2654
169	4957	2624
170	4986	2595
171	5016	2566
172	5046	2537
173	5062	2502
174	5093	2474
175	5121	2444
176	5152	2415
177	5178	2385
178	5208	2356
179	5240	2328
180	5269	2300
181	5301	2272
182	5332	2243
183	5360	2214
184	5388	2184
185	5415	2154
186	5445	2125
187	5477	2097
188	5505	2068
189	5536	2039
190	5567	2011
191	5594	1981
192	5625	1952
193	5654	1923
194	5687	1895
195	5713	1865
196	5744	1837
197	5773	1807
198	5805	1779
199	5830	1749
200	5865	1721
201	5893	1692
202	5925	1663
203	5955	1634
204	5985	1605
205	6013	1576
206	6041	1546
207	6070	1517
208	6100	1488
209	6129	1459
210	6155	1429
211	6185	1400
212	6211	1370
213	6241	1341
214	6275	1313
215	6308	1285
216	6338	1255
217	6365	1226
218	6394	1197
219	6426	1168
220	6455	1139
221	6484	1109
222	6512	1080
223	6543	1051
224	6575	1022
225	6608	994
226	6638	965
227	6670	936
228	6698	906
229	6727	877
230	6759	848
231	6790	819
232	6819	790
233	6846	760
234	6879	731
235	6907	702
236	6938	673
237	6964	643
238	6993	614
239	7023	585
240	7054	556
241	7083	526
242	7111	497
243	7139	468
244	7170	439
245	7200	409
246	7231	380
247	7264	351
248	7293	322
249	7323	292
250	7354	263
251	7382	234
252	7385	204
253	7415	175
254	7446	146
255	7475	116
256	7504	87
257	7536	58
258	7568	29
259	7598	0
