iter	Passed	Remaining
0	4	1300
1	5	829
2	7	662
3	8	574
4	9	522
5	10	493
6	11	469
7	13	454
8	14	443
9	15	437
10	17	430
11	18	427
12	20	424
13	22	426
14	23	429
15	26	436
16	28	445
17	30	451
18	32	458
19	35	465
20	37	472
21	39	476
22	42	478
23	44	483
24	46	485
25	49	493
26	52	497
27	54	501
28	57	502
29	59	501
30	61	501
31	63	500
32	65	500
33	67	499
34	70	498
35	72	496
36	74	495
37	76	495
38	78	496
39	80	493
40	83	492
41	85	490
42	87	489
43	89	487
44	91	485
45	93	486
46	96	486
47	98	484
48	100	484
49	103	482
50	105	481
51	107	480
52	109	479
53	112	477
54	114	476
55	116	475
56	119	474
57	121	473
58	124	472
59	126	470
60	128	469
61	130	468
62	133	468
63	135	466
64	138	465
65	141	466
66	143	465
67	145	462
68	147	460
69	150	459
70	152	457
71	154	454
72	156	452
73	158	450
74	160	448
75	162	446
76	165	443
77	167	441
78	169	439
79	171	437
80	173	436
81	176	433
82	178	431
83	180	430
84	183	428
85	185	427
86	188	426
87	190	424
88	192	422
89	195	420
90	197	418
91	200	417
92	202	415
93	204	413
94	206	411
95	208	408
96	211	407
97	213	404
98	215	402
99	217	400
100	220	398
101	222	396
102	224	394
103	226	391
104	228	389
105	230	387
106	232	384
107	235	383
108	237	381
109	239	378
110	240	375
111	242	372
112	244	370
113	246	368
114	249	366
115	251	364
116	253	362
117	256	360
118	258	358
119	260	356
120	262	353
121	264	350
122	265	348
123	267	345
124	270	343
125	272	341
126	274	339
127	276	336
128	278	334
129	280	331
130	282	329
131	284	327
132	286	325
133	288	323
134	290	320
135	292	318
136	295	316
137	297	314
138	299	312
139	300	309
140	303	307
141	305	305
142	306	302
143	308	300
144	310	298
145	313	296
146	315	293
147	317	291
148	319	289
149	321	287
150	323	284
151	325	282
152	327	280
153	329	277
154	331	275
155	333	273
156	335	271
157	337	269
158	339	266
159	341	264
160	343	262
161	345	260
162	347	258
163	350	256
164	351	253
165	353	251
166	355	248
167	357	246
168	359	244
169	360	241
170	362	239
171	364	237
172	367	235
173	369	233
174	371	231
175	373	229
176	376	227
177	378	225
178	380	223
179	383	221
180	385	219
181	387	217
182	389	215
183	391	213
184	407	218
185	410	216
186	413	214
187	414	211
188	417	209
189	418	207
190	421	205
191	422	202
192	425	200
193	426	197
194	428	195
195	429	192
196	431	190
197	432	187
198	434	185
199	435	182
200	436	180
201	437	177
202	439	175
203	440	172
204	441	170
205	443	167
206	444	165
207	445	162
208	447	160
209	448	158
210	450	155
211	451	153
212	453	151
213	455	148
214	456	146
215	458	144
216	460	142
217	461	139
218	463	137
219	465	135
220	467	133
221	468	130
222	470	128
223	472	126
224	474	124
225	476	122
226	478	120
227	480	117
228	482	115
229	484	113
230	486	111
231	488	109
232	490	107
233	492	105
234	494	103
235	496	100
236	498	98
237	500	96
238	502	94
239	504	92
240	506	90
241	508	88
242	510	86
243	512	84
244	514	81
245	516	79
246	518	77
247	520	75
248	522	73
249	523	71
250	525	69
251	527	66
252	529	64
253	531	62
254	534	60
255	535	58
256	537	56
257	539	54
258	541	52
259	543	50
260	546	48
261	548	46
262	549	43
263	551	41
264	553	39
265	555	37
266	558	35
267	560	33
268	562	31
269	564	29
270	565	27
271	568	25
272	570	22
273	571	20
274	573	18
275	575	16
276	577	14
277	579	12
278	581	10
279	583	8
280	585	6
281	587	4
282	589	2
283	591	0
