iter	RMSE
0	5.305814377
1	5.156432083
2	5.057012494
3	4.977598275
4	4.8862789
5	4.794952306
6	4.667243038
7	4.569224705
8	4.492866844
9	4.426982749
10	4.337553347
11	4.243049641
12	4.182565489
13	4.095809552
14	4.041060028
15	4.005373398
16	3.952270312
17	3.916555654
18	3.863268898
19	3.817445149
20	3.764364998
21	3.726634538
22	3.70476635
23	3.665361282
24	3.638030838
25	3.61705479
26	3.60289569
27	3.542472831
28	3.504718545
29	3.479715159
30	3.451336721
31	3.422177688
32	3.386966334
33	3.372460443
34	3.337373373
35	3.275612587
36	3.249897081
37	3.219284787
38	3.184718671
39	3.138664272
40	3.103477947
41	3.074593
42	3.058523357
43	3.019205046
44	2.988525278
45	2.969168876
46	2.934363281
47	2.912272734
48	2.900062027
49	2.879857934
50	2.846319343
51	2.824834885
52	2.776569102
53	2.764116453
54	2.746765028
55	2.715485403
56	2.699301274
57	2.672300164
58	2.64332701
59	2.625248293
60	2.600147941
61	2.585313176
62	2.574765887
63	2.56513942
64	2.54219863
65	2.526264873
66	2.508492985
67	2.471501186
68	2.461751736
69	2.431078339
70	2.422806855
71	2.410451427
72	2.402713909
73	2.375076712
74	2.367729236
75	2.338315133
76	2.323021726
77	2.300217554
78	2.290544901
79	2.284477883
80	2.274766204
81	2.259709999
82	2.240911787
83	2.216672854
84	2.197067839
85	2.178944685
86	2.162968453
87	2.139851628
88	2.11956623
89	2.111375486
90	2.102937648
91	2.096573955
92	2.089155896
93	2.075191087
94	2.056471734
95	2.05188118
96	2.0477185
97	2.035691849
98	2.031799084
99	2.022455856
100	2.011168029
101	2.007288445
102	2.003842596
103	2.000628612
104	1.978090122
105	1.961663155
106	1.948816944
107	1.945321927
108	1.942018983
109	1.935458118
110	1.92553113
111	1.916855758
112	1.906691896
113	1.899629887
114	1.896908647
115	1.892279005
116	1.889680964
117	1.887041283
118	1.88418078
119	1.881604619
120	1.875162135
121	1.871423807
122	1.861171458
123	1.852859711
124	1.836917416
125	1.826746828
126	1.808892807
127	1.806367567
128	1.803838941
129	1.792054066
130	1.784936998
131	1.780188512
132	1.777967738
133	1.776682594
134	1.762473034
135	1.746695374
136	1.74355496
137	1.740566799
138	1.730416336
