iter	Passed	Remaining
0	11	11592
1	11	5891
2	11	3979
3	12	3024
4	12	2447
5	12	2064
6	12	1790
7	12	1584
8	13	1451
9	13	1345
10	13	1253
11	14	1179
12	14	1115
13	15	1061
14	15	1013
15	15	972
16	16	935
17	16	903
18	16	872
19	17	847
20	17	822
21	18	800
22	18	779
23	18	761
24	19	743
25	19	727
26	19	712
27	20	698
28	20	686
29	20	674
30	21	663
31	21	652
32	21	642
33	22	638
34	22	633
35	23	629
36	23	620
37	24	614
38	24	606
39	24	599
40	25	594
41	25	587
42	26	581
43	26	577
44	26	571
45	27	566
46	27	559
47	27	553
48	28	546
49	28	540
50	28	534
51	29	530
52	29	526
53	29	520
54	29	515
55	30	510
56	30	505
57	30	500
58	31	496
59	31	492
60	31	487
61	31	483
62	32	480
63	32	476
64	32	472
65	33	469
66	33	465
67	33	461
68	33	457
69	34	453
70	34	450
71	34	446
72	34	443
73	35	439
74	35	436
75	35	432
76	35	429
77	36	426
78	36	423
79	36	420
80	36	417
81	36	413
82	37	410
83	37	408
84	37	405
85	38	409
86	38	408
87	39	405
88	39	402
89	39	399
90	39	396
91	39	393
92	40	391
93	40	390
94	40	388
95	40	385
96	41	383
97	41	380
98	41	378
99	41	377
100	42	375
101	42	373
102	42	371
103	42	369
104	43	367
105	43	366
106	43	364
107	43	363
108	44	361
109	44	359
110	44	357
111	44	356
112	45	355
113	45	353
114	45	352
115	46	350
116	46	348
117	46	347
118	46	346
119	47	345
120	47	344
121	47	343
122	48	342
123	48	340
124	48	339
125	48	338
126	49	337
127	49	337
128	49	336
129	50	335
130	50	334
131	50	333
132	51	333
133	51	333
134	51	332
135	52	331
136	52	330
137	52	330
138	53	329
139	53	328
140	53	328
141	54	327
142	54	326
143	54	326
144	55	325
145	55	325
146	55	324
147	56	324
148	56	323
149	56	322
150	57	322
151	57	321
152	58	321
153	58	320
154	58	320
155	59	319
156	59	319
157	59	318
158	60	317
159	60	317
160	60	317
161	61	317
162	61	317
163	62	317
164	62	316
165	62	316
166	63	316
167	63	316
168	64	316
169	64	316
170	65	316
171	65	316
172	66	315
173	66	315
174	66	315
175	67	314
176	67	314
177	67	313
178	68	313
179	68	313
180	69	313
181	69	313
182	70	313
183	70	313
184	71	312
185	71	312
186	71	312
187	72	312
188	72	312
189	73	313
190	74	313
191	74	313
192	74	312
193	75	312
194	75	312
195	76	312
196	76	312
197	77	312
198	77	312
199	77	311
200	78	311
201	78	311
202	79	311
203	79	310
204	80	310
205	80	309
206	80	309
207	81	309
208	81	309
209	82	308
210	82	308
211	82	308
212	83	308
213	83	308
214	84	307
215	84	307
216	85	307
217	85	306
218	85	306
219	86	305
220	86	305
221	86	304
222	87	304
223	87	303
224	87	302
225	88	302
226	88	301
227	89	301
228	89	301
229	89	300
230	90	301
231	90	301
232	91	301
233	91	300
234	92	300
235	92	300
236	93	299
237	93	299
238	94	299
239	94	299
240	95	299
241	95	298
242	95	298
243	96	298
244	96	298
245	97	297
246	97	297
247	98	297
248	98	297
249	98	296
250	99	296
251	99	296
252	100	296
253	100	295
254	101	295
255	101	295
256	102	295
257	102	295
258	103	295
259	103	295
260	104	295
261	104	295
262	105	295
263	105	295
264	106	295
265	106	294
266	107	294
267	107	294
268	108	293
269	108	293
270	108	293
271	109	292
272	109	292
273	110	291
274	110	291
275	111	291
276	111	291
277	112	290
278	112	290
279	112	290
280	113	289
281	113	289
282	114	289
283	114	288
284	115	288
285	115	288
286	115	288
287	116	287
288	116	287
289	117	287
290	117	286
291	118	287
292	118	286
293	119	286
294	119	286
295	120	285
296	120	285
297	121	285
298	121	284
299	121	283
300	122	283
301	122	283
302	122	282
303	123	282
304	123	281
305	123	281
306	124	280
307	124	279
308	124	279
309	125	278
310	125	278
311	126	277
312	126	277
313	126	277
314	127	276
315	127	276
316	128	276
317	128	275
318	129	275
319	129	275
320	129	274
321	130	274
322	130	274
323	131	273
324	131	273
325	132	272
326	132	272
327	132	271
328	133	271
329	133	270
330	133	270
331	134	269
332	134	269
333	134	268
334	135	268
335	135	268
336	136	267
337	136	267
338	136	266
339	137	266
340	137	266
341	138	265
342	138	265
343	138	265
344	139	264
345	139	263
346	139	263
347	140	262
348	140	262
349	141	261
350	141	261
351	141	261
352	142	260
353	142	260
354	142	259
355	143	259
356	143	258
357	144	258
358	144	258
359	144	257
360	145	257
361	145	256
362	146	256
363	146	256
364	146	255
365	147	255
366	147	254
367	148	254
368	148	254
369	149	253
370	149	253
371	149	252
372	150	252
373	150	251
374	150	251
375	151	250
376	151	250
377	151	249
378	152	249
379	152	248
380	152	248
381	153	247
382	153	247
383	154	247
384	154	246
385	154	246
386	155	246
387	155	245
388	156	245
389	156	245
390	157	244
391	157	244
392	158	244
393	158	243
394	158	243
395	159	242
396	159	242
397	159	241
398	160	241
399	160	240
400	160	240
401	161	239
402	161	239
403	162	239
404	162	238
405	163	238
406	163	238
407	163	237
408	164	237
409	164	237
410	165	236
411	165	236
412	166	235
413	166	235
414	166	235
415	167	234
416	167	234
417	167	233
418	168	233
419	168	232
420	168	232
421	169	231
422	169	231
423	170	231
424	170	230
425	170	230
426	171	229
427	171	229
428	172	229
429	172	228
430	172	228
431	173	227
432	173	227
433	174	227
434	174	226
435	174	226
436	175	225
437	175	225
438	175	224
439	176	224
440	176	223
441	176	223
442	177	223
443	177	222
444	178	222
445	178	221
446	178	221
447	179	221
448	179	220
449	180	220
450	180	220
451	181	219
452	181	219
453	181	218
454	182	218
455	182	217
456	183	217
457	183	217
458	183	216
459	184	216
460	184	215
461	184	215
462	185	214
463	185	214
464	185	213
465	186	213
466	186	213
467	187	212
468	187	212
469	188	212
470	188	211
471	188	211
472	189	210
473	189	210
474	189	209
475	190	209
476	190	209
477	190	208
478	191	208
479	191	207
480	207	223
481	207	223
482	208	222
483	208	222
484	209	221
485	209	221
486	210	221
487	210	221
488	211	220
489	211	220
490	211	219
491	212	219
492	212	218
493	213	218
494	213	218
495	214	217
496	214	217
497	215	217
498	215	216
499	216	216
500	216	215
501	217	215
502	217	215
503	218	214
504	218	214
505	219	214
506	219	213
507	220	213
508	220	212
509	221	212
510	221	211
511	221	211
512	222	210
513	222	210
514	223	210
515	223	209
516	223	209
517	224	208
518	224	208
519	224	207
520	225	207
521	225	206
522	225	206
523	226	205
524	226	204
525	226	204
526	227	203
527	227	203
528	227	202
529	228	202
530	228	201
531	228	201
532	229	200
533	229	200
534	229	199
535	229	199
536	230	198
537	230	198
538	230	197
539	231	196
540	231	196
541	231	195
542	232	195
543	232	194
544	232	194
545	233	194
546	233	193
547	233	192
548	234	192
549	234	191
550	234	191
551	235	190
552	235	190
553	235	189
554	236	189
555	236	189
556	237	188
557	237	188
558	237	187
559	238	187
560	238	186
561	238	186
562	239	185
563	239	185
564	239	184
565	240	184
566	240	183
567	240	183
568	241	182
569	241	182
570	241	181
571	242	181
572	242	180
573	242	180
574	243	179
575	243	179
576	243	178
577	244	178
578	244	177
579	245	177
580	245	177
581	246	176
582	246	176
583	246	175
584	247	175
585	247	175
586	248	174
587	248	174
588	249	173
589	249	173
590	249	172
591	250	172
592	250	172
593	251	171
594	251	171
595	251	170
596	252	170
597	252	169
598	253	169
599	253	169
600	254	168
601	254	168
602	254	167
603	255	167
604	255	166
605	255	166
606	256	165
607	256	165
608	257	165
609	257	164
610	258	164
611	258	163
612	258	163
613	259	162
614	259	162
615	260	162
616	260	161
617	260	161
618	261	160
619	261	160
620	261	159
621	262	159
622	262	158
623	262	158
624	263	158
625	263	157
626	264	157
627	264	156
628	264	156
629	265	155
630	265	155
631	265	154
632	266	154
633	266	153
634	267	153
635	267	153
636	268	152
637	268	152
638	268	151
639	269	151
640	269	151
641	270	150
642	270	150
643	271	149
644	271	149
645	272	149
646	272	148
647	273	148
648	273	147
649	273	147
650	274	147
651	274	146
652	275	146
653	275	145
654	276	145
655	276	145
656	276	144
657	277	144
658	277	143
659	278	143
660	278	142
661	279	142
662	279	142
663	280	141
664	280	141
665	281	140
666	281	140
667	282	140
668	282	139
669	298	146
670	298	146
671	298	145
672	299	145
673	299	144
674	299	144
675	299	143
676	300	143
677	300	142
678	300	142
679	300	141
680	300	140
681	301	140
682	301	139
683	301	139
684	301	138
685	302	138
686	302	137
687	302	137
688	302	136
689	302	136
690	303	135
691	303	135
692	303	134
693	303	133
694	304	133
695	304	132
696	304	132
697	304	131
698	305	131
699	305	130
700	305	130
701	305	129
702	306	129
703	306	128
704	306	128
705	306	127
706	307	127
707	307	126
708	307	126
709	308	125
710	308	125
711	308	124
712	309	124
713	309	123
714	310	123
715	310	123
716	310	122
717	311	122
718	311	121
719	311	121
720	312	120
721	312	120
722	313	119
723	313	119
724	313	119
725	314	118
726	314	118
727	314	117
728	315	117
729	315	116
730	316	116
731	316	115
732	316	115
733	317	114
734	317	114
735	317	113
736	318	113
737	318	113
738	319	112
739	319	112
740	319	111
741	320	111
742	320	110
743	320	110
744	321	109
745	321	109
746	321	109
747	322	108
748	322	108
749	322	107
750	323	107
751	323	106
752	324	106
753	324	105
754	324	105
755	325	105
756	325	104
757	326	104
758	326	103
759	327	103
760	327	102
761	328	102
762	328	102
763	328	101
764	329	101
765	329	100
766	330	100
767	330	99
768	331	99
769	331	99
770	332	98
771	332	98
772	332	97
773	333	97
774	333	96
775	333	96
776	334	95
777	334	95
778	334	94
779	335	94
780	335	94
781	335	93
782	336	93
783	336	92
784	336	92
785	337	91
786	337	91
787	338	90
788	338	90
789	339	90
790	339	89
791	339	89
792	340	88
793	340	88
794	341	87
795	341	87
796	342	87
797	342	86
798	343	86
799	343	85
800	343	85
801	344	84
802	344	84
803	344	84
804	345	83
805	345	83
806	346	82
807	346	82
808	346	81
809	347	81
810	347	81
811	348	80
812	348	80
813	348	79
814	349	79
815	349	78
816	350	78
817	350	77
818	350	77
819	351	77
820	351	76
821	351	76
822	352	75
823	352	75
824	352	74
825	353	74
826	353	73
827	353	73
828	354	73
829	354	72
830	355	72
831	355	71
832	356	71
833	356	70
834	357	70
835	357	70
836	357	69
837	358	69
838	358	68
839	358	68
840	359	67
841	359	67
842	360	67
843	360	66
844	360	66
845	361	65
846	361	65
847	362	64
848	362	64
849	363	64
850	363	63
851	378	65
852	378	65
853	379	64
854	379	64
855	379	63
856	379	63
857	380	62
858	380	62
859	381	62
860	381	61
861	381	61
862	382	60
863	382	60
864	382	59
865	383	59
866	383	58
867	384	58
868	384	57
869	384	57
870	385	57
871	385	56
872	386	56
873	386	55
874	387	55
875	387	54
876	387	54
877	388	53
878	388	53
879	389	53
880	389	52
881	389	52
882	390	51
883	390	51
884	391	50
885	391	50
886	391	49
887	392	49
888	392	49
889	392	48
890	393	48
891	393	47
892	393	47
893	394	46
894	394	46
895	394	45
896	394	45
897	395	44
898	395	44
899	395	43
900	396	43
901	396	43
902	396	42
903	396	42
904	397	41
905	397	41
906	397	40
907	398	40
908	398	39
909	398	39
910	398	38
911	399	38
912	399	38
913	399	37
914	400	37
915	400	36
916	400	36
917	401	35
918	401	35
919	401	34
920	402	34
921	402	34
922	402	33
923	403	33
924	403	32
925	403	32
926	404	31
927	404	31
928	404	30
929	405	30
930	405	30
931	405	29
932	406	29
933	406	28
934	406	28
935	407	27
936	407	27
937	407	26
938	408	26
939	408	26
940	409	25
941	409	25
942	409	24
943	410	24
944	410	23
945	411	23
946	411	23
947	412	22
948	412	22
949	412	21
950	413	21
951	413	20
952	414	20
953	414	19
954	414	19
955	415	19
956	415	18
957	416	18
958	416	17
959	416	17
960	417	16
961	417	16
962	417	16
963	418	15
964	418	15
965	419	14
966	419	14
967	420	13
968	420	13
969	420	13
970	421	12
971	421	12
972	422	11
973	422	11
974	423	10
975	423	10
976	423	9
977	424	9
978	424	9
979	425	8
980	425	8
981	426	7
982	426	7
983	426	6
984	427	6
985	427	6
986	428	5
987	428	5
988	429	4
989	429	4
990	430	3
991	430	3
992	430	3
993	431	2
994	431	2
995	431	1
996	432	1
997	432	0
998	433	0
999	433	0
