,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
<catboost.core.CatBoostRegressor object at 0x0000020A04972BB0>,0.7696872143879702,2.7134717877915953,0.018077688939630306,1.2205932693193162,1.868112485204933,0.7800428166044198,0.7091782458692902,-2.71234570697486,0.020486572993996047,-1.180362868927445,-1.8293602750544296,0.7206237507284504,0,0,0,2,1,1,0,0,0,0,0,0,0
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.11, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=350, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.7621446146664164,2.757546095493961,0.01853293493538681,0.9045219421386719,1.788792072864289,0.7819109997607505,0.669843175141822,-2.886222356380185,0.023824462626408614,-1.3626366653442379,-1.9623927653699682,0.6846186759368148,1,1,1,0,0,0,1,1,5,1,1,1,10
ExtraTreesRegressor(),0.722229270180548,2.9799537686332473,0.022000714374327525,1.1038000000000139,2.1306446808510615,0.7440708573575154,0.6462669638986035,-3.0068580885311547,0.023721258266705673,-1.4182449999999935,-2.109357155797103,0.6683060024331811,3,3,3,1,2,2,3,2,3,2,2,2,14
"RandomForestRegressor(max_depth=18, n_estimators=350)",0.7078471162882275,3.05612684111875,0.022465424397601037,1.6042285714286209,2.2629558720509406,0.7386427435455001,0.6506019484568799,-3.026879948404586,0.0229774677695915,-1.5797855049420146,-2.1550404371866225,0.6653969643511616,4,4,4,3,3,3,2,3,1,4,3,3,16
GradientBoostingRegressor(),0.7285786835619958,2.94569829089027,0.021261898406624024,1.8986087352360848,2.275151092402928,0.7298778713995439,0.6363814843672374,-3.034055619663017,0.023530775066416678,-1.6355490250429945,-2.196577042175389,0.6584651338107222,2,2,2,6,4,4,4,4,2,6,4,4,24
LGBMRegressor(),0.6062292448105016,3.5480359838763507,0.027576920160912607,2.2784311026434754,2.7057788992481124,0.6298178394143639,0.625014626656862,-3.095906072886001,0.023748127527882315,-1.5361573903161203,-2.2331295507537186,0.6392417778551864,6,6,6,8,7,6,5,6,4,3,5,5,28
BaggingRegressor(),0.6807286551373248,3.194818990643871,0.023438454311253968,2.280000000000001,2.5212765957446814,0.705828854154903,0.6107760232702758,-3.0712713890356054,0.024953575422100763,-1.5866000000000005,-2.24789788647343,0.606932989061324,5,5,5,9,5,5,6,5,6,5,6,6,34
"SVR(C=1.6, cache_size=3000, epsilon=0.01, gamma=1, kernel='poly')",0.5982590722572696,3.583763364844638,0.029717635865782285,1.7322756945218103,2.705965421798431,0.6174511293710622,0.5812205035809377,-3.2672409125215425,0.027900989767474446,-1.7975426129578171,-2.437007473708854,0.5972739146768312,7,7,7,5,8,7,7,7,7,7,7,7,42
AdaBoostRegressor(),0.5377257639437991,3.844289905776459,0.03694684756717563,3.2607407407407436,3.216505437607897,0.5378542179716927,0.4883360063225847,-3.611796276707052,0.0346899848603772,-2.441145334570266,-2.9202047353259206,0.5085057043816067,9,9,9,10,10,10,8,8,8,11,9,8,52
DecisionTreeRegressor(),0.5505544104801356,3.7905728529064695,0.0360130721827174,1.6999999999999993,2.596595744680851,0.6011582573150258,0.4658627087314164,-3.8609003347571065,0.03657057426041666,-2.0715,-2.8281159420289854,0.503048732841141,8,8,8,4,6,8,9,10,9,8,8,9,53
"MLPRegressor(hidden_layer_sizes=(70, 5), max_iter=60, solver='lbfgs')",0.5030420644489431,3.985897271537214,0.03846530931303808,2.087659136252036,2.9682631936494404,0.5517291696023761,0.4078265124271002,-3.8395720457725506,0.043246619280142604,-2.173129039338265,-2.9538227958283674,0.334315731561179,10,10,10,7,9,9,10,9,11,9,10,11,60
"KNeighborsRegressor(n_neighbors=9, p=1, weights='distance')",0.32972320777444897,4.629066052094794,0.05249667025882728,3.313213520563796,3.7231791128750173,0.338895533407646,0.37630654758246085,-3.981882817188628,0.04052551054222095,-2.3923115496875687,-3.082170620157234,0.3912905500004348,11,11,11,11,11,11,11,11,10,10,11,10,63
Ridge(),0.21803686759515184,4.9998782059489235,0.05730920295812563,3.8033442024373088,4.090170505775367,0.2272245939502593,0.2013376360184389,-4.589831807941222,0.053612126796988555,-3.2653134277478886,-3.7064737808447434,0.22168577080145332,12,12,12,13,12,12,12,12,12,12,12,12,72
LinearRegression(),0.17852125164020405,5.124652870558257,0.061263657783772636,3.9657132383094087,4.181885132066194,0.19008437449026772,0.1769295244697487,-4.6371729517818245,0.0547341724377799,-3.3168869599229596,-3.765311254406395,0.20449600022636466,13,13,13,14,13,13,13,13,13,13,13,13,78
Lasso(),-0.009617016291009417,5.681259376139201,0.0685840351535322,3.622540540540541,4.34293156986774,0.0,-0.02279593534618498,-5.285029754451276,0.06687005549299514,-3.9004258373205745,-4.322385411999328,3.3306690738754695e-17,14,14,14,12,14,14,14,14,14,14,14,14,84
