iter	RMSE
0	5.580405487
1	5.513750279
2	5.435990089
3	5.374089219
4	5.304327233
5	5.224930127
6	5.161327957
7	5.09824046
8	5.023620224
9	4.972419415
10	4.908564568
11	4.852301606
12	4.80016194
13	4.748154473
14	4.697979579
15	4.644192324
16	4.582857966
17	4.533006844
18	4.493584278
19	4.454005599
20	4.402652008
21	4.354860881
22	4.300240765
23	4.254239495
24	4.221992506
25	4.19638773
26	4.162351801
27	4.109826096
28	4.07481524
29	4.03536341
30	4.002553917
31	3.964076293
32	3.937060098
33	3.900209566
34	3.862771999
35	3.836582455
36	3.800736494
37	3.766753986
38	3.72610956
39	3.68784623
40	3.660374233
41	3.639573841
42	3.617106084
43	3.591883688
44	3.557710184
45	3.534652484
46	3.507388383
47	3.472135895
48	3.441013307
49	3.423758241
50	3.385915804
51	3.362254091
52	3.334692909
53	3.321420099
54	3.283775
55	3.262667141
56	3.245819005
57	3.223111477
58	3.203351099
59	3.1657233
60	3.146357663
61	3.12903389
62	3.10524635
63	3.076017326
64	3.05723758
65	3.032163792
66	3.019354671
67	2.992341122
68	2.962819953
69	2.938143709
70	2.912137546
71	2.897579524
72	2.872121078
73	2.857936581
74	2.842024831
75	2.828451838
76	2.811959379
77	2.799353635
78	2.785706309
79	2.769783232
80	2.755083536
81	2.737222934
82	2.716594242
83	2.700705474
84	2.677297733
85	2.665014612
86	2.649927619
87	2.636734477
88	2.618849384
89	2.610017653
90	2.598329907
91	2.5846311
92	2.569791142
93	2.554978395
94	2.539791758
95	2.519513069
96	2.500041203
97	2.486074116
98	2.469215484
99	2.458356304
100	2.44915557
101	2.438010615
102	2.432029294
103	2.422849626
104	2.406084511
105	2.399712347
106	2.387755826
107	2.371514658
108	2.359594658
109	2.348348494
110	2.342000188
111	2.32419463
112	2.308435666
113	2.294420666
114	2.281725744
115	2.272489007
116	2.264214052
117	2.251632137
118	2.239241621
119	2.234830227
120	2.217591998
121	2.206559744
122	2.203152053
123	2.193803977
124	2.185036217
125	2.176897077
126	2.171946738
127	2.16486352
128	2.155574819
129	2.143111124
130	2.136036846
131	2.122465888
132	2.113730543
133	2.099055747
134	2.086806873
135	2.076643574
136	2.062826326
137	2.059032503
138	2.048874482
139	2.039862706
140	2.034622729
141	2.021421267
142	2.017833477
143	2.008749616
144	2.00514007
145	1.993795753
146	1.989643799
147	1.986569199
148	1.975738289
149	1.965514526
150	1.952983206
151	1.946463326
152	1.941189129
153	1.931602892
154	1.921021011
155	1.912762608
156	1.90120723
157	1.884517652
158	1.876318726
159	1.869797014
160	1.856786536
161	1.851190426
162	1.842350731
163	1.83628947
164	1.831977711
165	1.823316959
166	1.819561232
167	1.81283585
168	1.805136017
169	1.801457544
170	1.798025246
171	1.794992647
172	1.784863414
173	1.774927132
174	1.767077054
175	1.764291299
176	1.755691775
177	1.752768055
178	1.744636711
179	1.738481202
180	1.733621309
181	1.727947103
182	1.723486402
183	1.71242477
184	1.701807232
185	1.695876482
186	1.692911464
187	1.690219447
188	1.683437957
189	1.676698669
190	1.668916173
191	1.654904153
192	1.648391075
193	1.646048988
194	1.640687606
195	1.635120276
196	1.629408084
197	1.62552359
198	1.621264401
199	1.617206324
200	1.615154689
201	1.613007325
202	1.610973835
203	1.60886479
204	1.606851725
205	1.599480402
206	1.59188603
207	1.582421234
208	1.580719179
209	1.578850212
210	1.575766854
211	1.573067068
212	1.565672963
213	1.564168117
214	1.562468275
215	1.560806543
216	1.553823278
217	1.552248302
218	1.550451651
219	1.548923663
220	1.547722584
221	1.544520825
222	1.543232665
223	1.541700973
224	1.540326355
225	1.531780032
226	1.524525835
227	1.523025042
228	1.51287049
229	1.507324742
230	1.504064093
231	1.49572108
232	1.492510352
233	1.48707803
234	1.480273973
235	1.478109666
236	1.474004077
237	1.473097053
238	1.469447407
239	1.465964118
240	1.458220869
241	1.453719664
242	1.447150245
243	1.444770939
244	1.44360582
245	1.440947456
246	1.435198507
247	1.430620113
248	1.426778757
249	1.420415436
250	1.419311296
251	1.414573431
252	1.407489919
253	1.406431475
254	1.40055274
255	1.397414683
256	1.396540512
257	1.395420725
258	1.389836382
259	1.382998012
260	1.377821809
261	1.376785373
262	1.371626054
263	1.366440505
264	1.358503879
265	1.354386337
266	1.348665402
267	1.347683075
268	1.343645937
269	1.342835794
270	1.339650886
271	1.333337939
272	1.327105687
273	1.321148481
274	1.318102677
275	1.313454548
276	1.307545653
277	1.304198413
278	1.301956705
279	1.296592735
280	1.293868329
281	1.286965907
282	1.281148844
283	1.273432015
284	1.266274297
285	1.261537984
286	1.255126185
287	1.253761867
288	1.247410163
289	1.245315884
290	1.240281142
291	1.235865816
292	1.22962033
293	1.225908997
294	1.225248594
295	1.221527555
296	1.216663832
297	1.210267782
298	1.209616086
299	1.208425926
300	1.204197469
301	1.197086518
302	1.193124803
303	1.190783258
304	1.186616009
305	1.179979882
306	1.177760624
307	1.173401705
308	1.171514774
309	1.167286114
310	1.162861557
311	1.157006077
312	1.151752053
313	1.149078601
314	1.146210011
315	1.142006883
316	1.139781807
317	1.136229965
318	1.134938332
319	1.129457032
320	1.125641147
321	1.122829889
322	1.120945081
323	1.118094721
324	1.112206678
325	1.109753006
326	1.107503977
327	1.10353248
328	1.098126661
329	1.094706798
330	1.091074868
331	1.087608096
332	1.081716842
333	1.079681238
334	1.077956673
335	1.075189609
336	1.073354367
337	1.071649432
338	1.069922799
339	1.062356077
340	1.058963058
341	1.058292088
342	1.056760097
343	1.053929583
344	1.052462626
345	1.051129936
346	1.048576833
347	1.046855298
348	1.044373612
349	1.042316865
350	1.0394439
351	1.038047022
352	1.037042424
353	1.036061818
354	1.033875662
355	1.030675513
356	1.028307581
357	1.025060608
358	1.022561802
359	1.019833341
360	1.017738698
361	1.015542999
362	1.0119723
363	1.008600677
364	1.006731093
365	1.005482145
366	1.002541768
367	1.001979856
368	0.9986724813
369	0.9975663397
370	0.9948583752
371	0.9900702675
372	0.9863434335
373	0.9818564027
374	0.9800422266
375	0.978165221
376	0.9753669639
377	0.973446905
378	0.9706108811
379	0.9670956168
380	0.9638096533
381	0.9610031924
382	0.9577659026
383	0.9567309751
384	0.9559156233
385	0.9547446146
386	0.9523192434
387	0.9495243696
388	0.9486289864
389	0.9460935349
390	0.9441608918
391	0.9421628228
392	0.9387619632
393	0.9367073586
394	0.9358439096
395	0.9322856656
396	0.9318665232
397	0.9280228247
398	0.9245625206
399	0.9242047861
400	0.9224672097
401	0.9183756473
402	0.9148009203
403	0.912270688
404	0.9099273317
405	0.907614516
406	0.9068779918
407	0.9031761043
408	0.9011319506
409	0.8975209877
410	0.895500694
411	0.8918799238
