iter	Passed	Remaining
0	7	26232
1	7	13562
2	8	9328
3	8	7198
4	8	5918
5	8	5066
6	9	4496
7	9	4072
8	9	3736
9	9	3468
10	10	3242
11	10	3052
12	10	2895
13	11	2756
14	11	2636
15	11	2528
16	11	2443
17	12	2362
18	12	2291
19	12	2221
20	13	2157
21	13	2100
22	13	2047
23	13	1997
24	14	1954
25	14	1911
26	14	1873
27	14	1836
28	15	1801
29	15	1769
30	15	1740
31	15	1710
32	15	1678
33	16	1653
34	16	1630
35	16	1608
36	16	1588
37	17	1567
38	17	1548
39	17	1529
40	17	1513
41	18	1500
42	18	1485
43	18	1470
44	18	1455
45	19	1441
46	19	1428
47	19	1416
48	19	1405
49	20	1392
50	20	1381
51	20	1371
52	20	1361
53	21	1352
54	21	1346
55	21	1337
56	22	1329
57	22	1322
58	22	1314
59	22	1307
60	23	1300
61	23	1293
62	23	1288
63	23	1282
64	24	1277
65	24	1270
66	24	1265
67	25	1264
68	25	1259
69	25	1254
70	25	1251
71	26	1247
72	26	1243
73	26	1240
74	27	1237
75	27	1234
76	27	1232
77	28	1229
78	28	1229
79	28	1226
80	29	1224
81	29	1223
82	29	1224
83	30	1222
84	30	1220
85	30	1220
86	31	1220
87	31	1220
88	31	1220
89	32	1220
90	32	1221
91	33	1224
92	33	1226
93	33	1228
94	34	1231
95	34	1235
96	35	1238
97	35	1241
98	36	1243
99	36	1247
100	37	1249
101	37	1252
102	38	1256
103	38	1258
104	39	1262
105	39	1266
106	40	1272
107	40	1283
108	41	1294
109	42	1300
110	49	1516
111	50	1517
112	50	1518
113	51	1518
114	51	1516
115	51	1514
116	52	1512
117	52	1510
118	53	1508
119	53	1506
120	53	1506
121	54	1505
122	54	1504
123	55	1503
124	55	1502
125	56	1500
126	56	1500
127	56	1498
128	57	1497
129	57	1496
130	58	1495
131	58	1495
132	59	1497
133	59	1499
134	60	1500
135	60	1503
136	61	1515
137	62	1519
138	63	1525
139	63	1530
140	64	1535
141	65	1540
142	65	1544
143	66	1547
144	66	1548
145	67	1547
146	67	1546
147	68	1545
148	68	1547
149	69	1547
150	69	1549
151	70	1549
152	70	1550
153	71	1553
154	72	1557
155	72	1560
156	73	1564
157	73	1564
158	74	1568
159	75	1569
160	75	1571
161	76	1573
162	77	1576
163	77	1578
164	78	1580
165	78	1581
166	79	1586
167	80	1588
168	80	1591
169	81	1590
170	81	1590
171	82	1589
172	82	1587
173	83	1589
174	83	1591
175	84	1594
176	84	1593
177	85	1593
178	85	1593
179	86	1594
180	86	1594
181	87	1593
182	87	1593
183	88	1596
184	90	1618
185	91	1629
186	92	1631
187	92	1632
188	93	1631
189	93	1630
190	94	1631
191	94	1632
192	95	1633
193	95	1633
194	96	1635
195	97	1636
196	97	1637
197	98	1638
198	98	1638
199	99	1639
200	99	1639
201	100	1640
202	101	1641
203	101	1642
204	102	1642
205	102	1644
206	103	1645
207	104	1647
208	104	1647
209	105	1650
210	106	1653
211	106	1653
212	107	1657
213	108	1658
214	108	1659
215	109	1660
216	109	1662
217	110	1663
218	111	1666
219	111	1667
220	112	1668
221	116	1725
222	117	1724
223	117	1723
224	118	1721
225	118	1723
226	119	1723
227	120	1725
228	120	1723
229	121	1724
230	121	1724
231	122	1723
232	122	1723
233	123	1722
234	124	1723
235	124	1723
236	125	1722
237	125	1720
238	126	1720
239	126	1719
240	127	1718
241	127	1717
242	128	1717
243	128	1718
244	129	1718
245	130	1722
246	130	1723
247	131	1723
248	132	1723
249	132	1724
250	133	1724
251	133	1724
252	134	1726
253	135	1726
254	135	1726
255	136	1726
256	136	1727
257	137	1728
258	138	1727
259	138	1727
260	139	1726
261	139	1725
262	140	1724
263	140	1723
264	141	1724
265	141	1724
266	142	1725
267	143	1726
268	143	1727
269	144	1727
270	144	1727
271	145	1726
272	146	1726
273	146	1725
274	147	1726
275	147	1726
276	148	1728
277	149	1728
278	149	1729
279	150	1730
280	151	1731
281	151	1732
282	152	1733
283	153	1734
284	153	1735
285	154	1736
286	155	1737
287	155	1737
288	156	1738
289	157	1738
290	157	1738
291	158	1740
292	159	1741
293	159	1741
294	160	1741
295	160	1741
296	161	1741
297	162	1742
298	162	1743
299	163	1744
300	164	1744
301	164	1744
302	170	1801
303	171	1800
304	171	1799
305	172	1797
306	172	1795
307	173	1793
308	173	1791
309	173	1789
310	174	1788
311	174	1786
312	175	1785
313	175	1784
314	176	1782
315	177	1784
316	177	1783
317	178	1783
318	178	1783
319	179	1781
320	179	1780
321	180	1778
322	180	1777
323	181	1776
324	181	1775
325	182	1773
326	182	1773
327	183	1773
328	184	1777
329	184	1776
330	185	1776
331	186	1777
332	186	1778
333	187	1777
334	188	1776
335	188	1776
336	189	1776
337	189	1776
338	190	1777
339	191	1777
340	191	1777
341	192	1777
342	193	1777
343	193	1778
344	194	1778
345	195	1780
346	196	1781
347	196	1782
348	197	1783
349	198	1784
350	198	1782
351	199	1781
352	199	1780
353	200	1780
354	200	1779
355	201	1779
356	202	1779
357	202	1780
358	203	1780
359	204	1780
360	204	1779
361	205	1780
362	206	1780
363	206	1779
364	207	1778
365	207	1778
366	208	1778
367	208	1778
368	209	1777
369	210	1777
370	210	1778
371	211	1778
372	212	1778
373	212	1779
374	213	1779
375	214	1779
376	214	1779
377	215	1778
378	216	1778
379	216	1778
380	217	1778
381	217	1777
382	218	1776
383	219	1777
384	219	1777
385	220	1777
386	220	1777
387	221	1777
388	222	1777
389	222	1778
390	223	1777
391	224	1777
392	224	1777
393	225	1777
394	226	1777
395	226	1776
396	227	1776
397	227	1776
398	228	1776
399	229	1775
400	229	1775
401	230	1775
402	230	1774
403	231	1774
404	232	1773
405	232	1772
406	233	1771
407	233	1771
408	234	1771
409	234	1770
410	235	1770
411	236	1769
412	236	1769
413	237	1769
414	237	1768
415	238	1768
416	239	1767
417	239	1767
418	240	1767
419	240	1767
420	241	1767
421	242	1767
422	242	1767
423	243	1766
424	244	1766
425	244	1766
426	245	1765
427	245	1764
428	246	1764
429	247	1763
430	247	1763
431	248	1763
432	248	1763
433	249	1762
434	249	1761
435	250	1759
436	250	1758
437	251	1758
438	252	1757
439	252	1758
440	253	1757
441	254	1757
442	254	1756
443	255	1756
444	255	1755
445	256	1756
446	257	1756
447	257	1756
448	258	1756
449	259	1756
450	259	1755
451	260	1755
452	261	1756
453	261	1756
454	263	1763
455	264	1764
456	264	1763
457	265	1762
458	265	1761
459	266	1760
460	267	1760
461	267	1759
462	268	1759
463	268	1758
464	269	1759
465	270	1759
466	271	1760
467	271	1761
468	272	1761
469	273	1760
470	273	1761
471	274	1760
472	275	1760
473	275	1760
474	276	1760
475	277	1761
476	277	1760
477	278	1760
478	278	1759
479	279	1759
480	280	1759
481	281	1759
482	281	1759
483	282	1759
484	282	1758
485	283	1757
486	283	1756
487	284	1755
488	284	1754
489	285	1753
490	286	1753
491	286	1753
492	287	1752
493	288	1752
494	288	1752
495	289	1752
496	289	1751
497	290	1749
498	290	1749
499	291	1749
500	292	1749
501	292	1748
502	293	1747
503	293	1747
504	294	1747
505	295	1747
506	295	1746
507	296	1746
508	297	1746
509	297	1746
510	298	1745
511	299	1745
512	299	1745
513	300	1744
514	300	1743
515	301	1743
516	302	1743
517	302	1743
518	303	1743
519	304	1742
520	304	1742
521	305	1742
522	305	1741
523	306	1740
524	306	1739
525	307	1738
526	307	1737
527	308	1736
528	309	1735
529	309	1735
530	310	1734
531	310	1733
532	311	1732
533	311	1731
534	312	1730
535	312	1729
536	313	1729
537	314	1729
538	314	1728
539	315	1728
540	316	1728
541	316	1728
542	317	1728
543	318	1728
544	318	1728
545	319	1727
546	319	1726
547	320	1726
548	321	1726
549	321	1726
550	322	1725
551	323	1725
552	323	1725
553	324	1724
554	324	1723
555	325	1721
556	325	1720
557	326	1719
558	326	1718
559	327	1718
560	327	1717
561	328	1717
562	329	1716
563	329	1716
564	330	1715
565	330	1714
566	331	1713
567	331	1712
568	332	1712
569	333	1711
570	333	1711
571	334	1711
