Ytrain,predicted_values_train
720,720.0
304,304.0
118,118.0
587,587.0
531,531.0
655,655.0
418,418.0
182,182.0
602,602.0
167,167.0
125,125.0
510,510.0
242,242.0
546,546.0
544,544.0
720,720.0
665,665.0
205,205.0
140,140.0
655,655.0
548,548.0
110,110.0
593,593.0
479,479.0
450,450.0
155,155.0
280,280.0
172,172.0
740,740.0
580,580.0
695,695.0
558,558.0
625,625.0
510,510.0
146,146.0
273,273.0
532,532.0
408,408.0
185,185.0
171,171.0
157,157.0
139,139.0
249,249.0
555,555.0
238,238.0
479,479.0
486,486.0
166,166.0
550,550.0
576,576.0
388,388.0
521,521.0
200,200.0
494,494.0
278,278.0
158,158.0
358,358.0
295,295.0
415,415.0
503,503.0
430,430.0
380,380.0
701,701.0
735,735.0
158,158.0
482,482.0
143,143.0
153,153.0
591,591.0
290,290.0
558,558.0
538,538.0
510,510.0
586,586.0
315,315.0
366,366.0
127,127.0
576,576.0
150,150.0
335,335.0
438,438.0
567,567.0
371,371.0
172,172.0
265,265.0
702,702.0
161,161.0
475,475.0
527,527.0
475,475.0
764,764.0
615,615.0
545,545.0
175,175.0
170,170.0
603,603.0
