,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
ExtraTreesRegressor(),0.879946671453358,65.51285782195735,0.026958067399121,24.659999999999968,43.04519999999999,0.8918698751104105,0.5628884114276371,-73.47713111739999,0.03819403935220928,-37.99550000000001,-53.10346794871795,0.701211868521278,3,3,2,2,2,3,0,0,1,0,0,0,1
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.01, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.8595151722587665,70.86864898532252,0.033698765781754896,27.727325439453125,44.97856201171875,0.8690908079635175,0.5291151481469171,-75.28351441636674,0.03762214304933194,-50.677130126953124,-56.85309263865154,0.6520538577605116,7,7,5,4,4,6,1,1,0,7,3,5,17
<catboost.core.CatBoostRegressor object at 0x0000023EF6A75130>,0.8702218406432356,68.11460572580856,0.036682094713758794,26.033103857005358,43.67431616714479,0.8760249518283016,0.47117118851643375,-75.65207937854633,0.048822420299602313,-50.053125709340755,-57.29616810488818,0.6906431348390148,4,4,8,3,3,5,4,2,7,6,4,1,24
AdaBoostRegressor(),0.8400464922323301,75.6199396180241,0.04977858248198772,36.39285714285714,54.26674895914474,0.8409042824395546,0.47117752102963195,-76.65285953036008,0.04861724535438583,-49.71661358194435,-63.56425316368817,0.6601217838904935,8,8,9,9,9,8,3,5,6,4,8,2,28
GradientBoostingRegressor(),0.8596532641418408,70.83380966690048,0.03380565828402756,31.290570463684816,51.67719056322501,0.8617246249311432,0.4944085450656974,-75.81850095411272,0.04557910164207229,-50.02252071950694,-58.14634937039773,0.6195956468058312,6,6,6,6,7,7,2,4,4,5,5,9,29
"RandomForestRegressor(max_depth=10, n_estimators=50)",0.8685688720677649,68.54701690000002,0.024364287668172096,23.720000000000027,45.2298,0.8781043940834868,0.46385501448285177,-75.75715077145665,0.046299845926512644,-47.21403333333335,-58.636222386232006,0.6026984308331456,5,5,0,1,5,4,5,3,5,2,6,10,31
DecisionTreeRegressor(),0.8343238797745925,76.96076922692497,0.03207444741394366,31.0,52.48,0.8391976940816408,0.4310011414947006,-83.40270702118451,0.044028615855643966,-39.05,-53.830769230769235,0.4930766216404561,9,9,4,5,8,9,8,7,2,1,1,14,33
BaggingRegressor(),0.8985303189739157,60.22926863245145,0.027209299504825403,35.19999999999999,42.751999999999995,0.902563637066696,0.3977437651276665,-84.30030218639759,0.04476172993318111,-48.599999999999994,-56.01852564102565,0.5371989414741808,1,1,3,8,1,1,10,8,3,3,2,12,38
"KNeighborsRegressor(n_neighbors=4, p=1, weights='distance')",0.9325882020086634,49.091623782334715,0.02669005737694745,22.39243996466587,36.42601690558621,0.9395407668119035,0.4604729421929855,-86.63417963688445,0.059485553604677235,-52.05873755403189,-64.19075157423079,0.6569679012783737,0,0,1,0,0,0,6,11,8,8,9,4,46
"SVR(cache_size=2000, epsilon=0.01, gamma=4, kernel='poly')",0.8152023640198818,81.28073975436611,0.08857092251225385,45.29292417714095,61.36884317297714,0.8273643700452638,0.4045504941345829,-85.94427244597875,0.08696968722865506,-54.881903016836034,-66.34685777605415,0.6493298643723083,10,10,11,11,10,10,9,9,13,9,11,6,57
LGBMRegressor(),0.8054335742032297,83.40140989786447,0.05802663456018578,52.962653599938164,64.79920307606771,0.8156362643357955,0.38247975072363316,-82.4802349508297,0.06059098062576796,-58.371611852533704,-65.56377701164048,0.5299041892839604,11,11,10,14,11,11,13,6,9,10,10,13,61
"MLPRegressor(alpha=0.01, hidden_layer_sizes=(70, 8), max_iter=60,
             solver='lbfgs')",0.882668605983329,64.76592271179058,0.03449344046564964,45.19214782607685,49.7379033786051,0.8983581570281226,0.45744434139582574,-85.98831650359863,0.1276932669183464,-62.818520361656155,-61.59636079968654,0.5733559130464626,2,2,7,10,6,2,7,10,14,13,7,11,62
"Lasso(alpha=0.3, max_iter=8000)",0.7869402884688221,87.27505060432918,0.09029752871444692,47.38404696227508,69.23159797118879,0.8034257130124934,0.39183552416794915,-89.4887149384001,0.07065049463162683,-62.66970032066731,-69.89809806650986,0.6348301818781146,13,13,12,12,14,13,12,12,10,12,12,7,65
Ridge(),0.7748765855117679,89.71184234416282,0.09438708567504354,34.20272248316405,67.6679664475097,0.7861718069561386,0.3140335097459301,-90.5050242919314,0.08082660203207709,-62.56539056048903,-71.44629194570703,0.6579666799870474,14,14,13,7,12,14,14,14,12,11,14,3,68
LinearRegression(positive=True),0.7876690547936299,87.12566149898966,0.09462350768928386,50.50310419323023,69.1618616038057,0.8058325450429801,0.39526401038894543,-89.9479648431381,0.07254217010633615,-63.57709853573631,-70.43983005495056,0.6257865957903456,12,12,14,13,13,12,11,13,11,14,13,8,70
