,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
ExtraTreesRegressor(),0.8225522635542567,80.31515007767837,0.04050813516795448,34.00999999999999,53.94439999999999,0.8457097131136717,0.5360819935835197,-71.36508441161492,0.03336317176649716,-39.501000000000005,-50.434698717948706,0.7328248929517474,4,4,4,5,3,4,0,2,0,0,0,0,2
<catboost.core.CatBoostRegressor object at 0x0000023EF6945EE0>,0.8610947598151888,71.0594036107917,0.03654447257802817,32.46040657274972,48.77523759268925,0.8706056448131057,0.4887658351212162,-68.24732059341855,0.03800750313700469,-44.10137504009425,-51.95642774286157,0.6994336379279302,1,1,2,3,2,1,4,0,1,1,1,1,8
GradientBoostingRegressor(),0.8169442000164642,81.57441917136461,0.04092446417728215,36.33924664515769,60.30091432918496,0.830138864747098,0.493542618453611,-69.87021763278723,0.04223593351045497,-45.70270144544587,-54.584845893093,0.6198561133076493,5,5,5,6,7,5,3,1,3,2,2,6,17
"KNeighborsRegressor(n_neighbors=4, p=1, weights='distance')",0.9354329704820648,48.44708449005508,0.026129599986990746,37.02455848439183,36.70170327492556,0.9425117236539658,0.4977703693684088,-79.99178185900446,0.04990486034241267,-46.86972224505526,-58.73137088459231,0.6924064873123855,0,0,0,7,0,0,2,6,5,4,6,2,25
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.07, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=200, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.8476850849357334,74.41036924813234,0.03524970374852207,26.810516357421875,47.71807922363281,0.8590503612139058,0.4116584086054719,-79.14748462625364,0.040461814544649144,-52.842637634277345,-58.03009119278346,0.5770348197101716,3,3,1,0,1,3,7,5,2,10,5,9,38
"SVR(C=1.6, cache_size=3000, epsilon=0.01, gamma=4, kernel='poly')",0.850401968684701,73.74374389060898,0.06641255249356375,37.88638850203682,57.29763919188072,0.8655495655476304,0.5065138986858101,-76.03242873420115,0.08511782111299121,-50.630975262086665,-59.09530215958805,0.6856547456121498,2,2,10,8,5,2,1,3,13,9,9,3,38
LGBMRegressor(),0.7979242222910191,85.70760763799211,0.056762466892097754,51.554418819201146,65.84470901557248,0.8042424156743158,0.362229495378866,-77.83123830370755,0.05576357030968613,-47.2351640563614,-56.27155064066959,0.4667767416875826,7,7,8,11,10,9,9,4,8,6,3,13,43
"MLPRegressor(alpha=0.001, hidden_layer_sizes=(30, 5), max_iter=60,
             solver='lbfgs')",0.7259768964137072,99.80581232661636,0.11627073978478622,66.90715484895841,80.8939197738686,0.7349846428661755,0.4360879035785727,-82.60238937677235,0.04882033975556373,-58.302219674119364,-61.21919467126943,0.5829785986369024,14,14,14,14,14,14,5,9,4,12,10,8,48
"RandomForestRegressor(max_depth=22, n_estimators=200)",0.778781320945827,89.67536245257111,0.04426638380506707,33.39500000000001,58.4658,0.7976165152356094,0.31304261701894837,-82.41848070068761,0.052224120648775615,-49.00675000000001,-58.859599358974364,0.5458623639991976,12,12,7,4,6,10,11,8,6,7,7,10,49
AdaBoostRegressor(),0.7621406983141084,92.98701640502826,0.05842117905932814,41.58823529411768,64.89222817229859,0.7769946271050759,0.23835121137107315,-81.7776403512215,0.055686479349532955,-50.062741259485875,-59.011637022533364,0.5329585053999024,13,13,9,10,9,13,12,7,7,8,8,11,53
BaggingRegressor(),0.8070789575612461,83.7436803585799,0.03863068586629921,29.80000000000001,56.72,0.8195173839558447,0.2031289025174905,-89.6885384510595,0.060625752239606506,-46.17,-56.82807692307692,0.4721305365121708,6,6,3,1,4,6,13,13,9,3,4,12,54
LinearRegression(positive=True),0.7962055815483646,86.07130465689447,0.10111280315372433,58.126787299866464,70.93640565998409,0.8145861400817888,0.42340433554730206,-86.5395451534989,0.07050596173790696,-55.89280309521314,-68.75174199732795,0.6161467983189672,8,8,13,13,13,7,6,11,11,11,12,7,58
"Lasso(alpha=0.6, max_iter=3000)",0.7954292162574698,86.23509533802152,0.09120307517478393,51.78792407050639,69.6196148337844,0.8113194689886238,0.41063177559885433,-86.35307217524668,0.0675499238547259,-58.79701604287122,-68.11556954277441,0.6340106206118514,9,9,11,12,12,8,8,10,10,14,11,5,58
Ridge(),0.7844347328946264,88.52208543029852,0.0943204986485604,39.33309310002062,67.26926715197544,0.7957114694565458,0.3543282531482375,-87.44197856085106,0.07614332208895819,-58.59684842116089,-69.48804249705867,0.6529668861339417,10,10,12,9,11,11,10,12,12,13,13,4,64
DecisionTreeRegressor(),0.7817960545427336,89.06222543817329,0.042267371193594826,30.0,60.72,0.7890512240424652,-0.23582898890118678,-100.89144966440226,0.09027440751844128,-46.95,-74.93076923076923,0.06118241594962198,11,11,6,2,8,12,14,14,14,5,14,14,75
