,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
ExtraTreesRegressor(),0.8656772358542115,70.03864881620719,0.03335342729075387,31.329999999999984,46.931999999999995,0.8778238943928571,0.5455814011944888,-69.01178715560303,0.03590101164359916,-38.65200000000001,-50.08484615384616,0.6940474202527966,3,3,3,6,3,2,2,1,0,1,0,1,5
<catboost.core.CatBoostRegressor object at 0x0000023EF6DE6C70>,0.8762876463855258,67.21550774501787,0.029092423777524735,23.05273816571355,42.56235726391834,0.8846746439163312,0.549355743730657,-67.41689203979989,0.038688127240640524,-40.449846033584116,-51.00331362106148,0.7081867245336195,1,1,2,0,1,1,1,0,1,2,1,0,5
"MLPRegressor(alpha=0.001, hidden_layer_sizes=(70, 7), max_iter=60,
             solver='lbfgs')",0.8046927976713899,84.45436064058958,0.07207557503155207,43.10888445308524,66.24567654552439,0.8182442611125263,0.6130187476092142,-72.06448345878135,0.040392390660946714,-44.98339528169953,-54.13919688290864,0.5074645669935723,11,11,11,11,11,12,0,2,3,3,2,12,22
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.05, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=200, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.8693486654704994,69.0748378371657,0.026815058455602343,25.47650146484375,43.601853637695314,0.8762876255865799,0.4940405081553756,-75.86168841519454,0.03943561021877766,-50.75736618041992,-57.355636264116335,0.6275650377988005,2,2,0,2,2,3,3,5,2,9,5,7,31
GradientBoostingRegressor(),0.8314147791544384,78.46440729893685,0.03553090079493301,24.255443282384135,53.9700562128314,0.8439804370973394,0.4870640250907208,-72.21222336660978,0.04510238760204186,-51.89335563929901,-56.53880535177454,0.6128253326705239,6,6,6,1,6,7,5,3,4,11,3,8,34
"SVR(C=1.6, cache_size=2000, epsilon=0.01, gamma=4, kernel='poly')",0.84778690395825,74.55709168791775,0.06710558726102545,36.68746132331114,56.587192183372515,0.8632440025324599,0.49351689488612943,-75.60915143833083,0.08284169440395209,-47.670221037507964,-57.81385960315703,0.6864528554772976,4,4,10,8,9,4,4,4,14,6,6,2,36
"RandomForestRegressor(max_depth=26, n_estimators=350)",0.8204694359645078,80.97149290248478,0.03511231881322129,27.082857142857137,52.72628571428572,0.8341141603680422,0.3875763572784909,-79.06615935145213,0.05070655889396784,-46.879000000000005,-58.026844322344324,0.5895489054029601,9,9,5,5,4,9,11,7,5,5,7,9,44
LGBMRegressor(),0.8173398941548355,81.67418348466089,0.05280325571054081,49.96924733812273,61.60847087762917,0.8225437337182573,0.4150242266456181,-77.81107392320278,0.053498821132096766,-48.87297928381581,-58.13830336860402,0.5259010830399291,10,10,9,12,10,10,8,6,6,7,8,10,45
"KNeighborsRegressor(p=1, weights='distance')",0.930110963710471,50.520480784968136,0.027277395103037422,25.89652060889108,36.87967217845142,0.9369653213694711,0.45601615020653086,-82.73701396317193,0.057100012002715854,-50.760838749774166,-64.08209087375893,0.6517762704294412,0,0,1,3,0,0,6,10,8,10,11,4,49
DecisionTreeRegressor(),0.8273156973852588,79.41259345972779,0.034022329242314193,34.0,54.04,0.8458833097974725,0.1698186812021729,-83.38875977258719,0.05627329987233108,-37.7,-57.06666666666666,0.4213362450554121,7,7,4,7,7,5,14,11,7,0,4,14,50
BaggingRegressor(),0.8261209085192807,79.68684458553996,0.036623034835230855,26.0,52.812,0.8359602832785332,0.2587493674961695,-79.89710073042829,0.0602389155697732,-46.495,-58.186217948717946,0.5108322784513595,8,8,7,4,5,8,13,8,10,4,9,11,55
AdaBoostRegressor(),0.8373236324693674,77.07706734158067,0.04364229040696322,37.85714285714289,54.04982759591215,0.8451600274127222,0.4092962139316604,-80.8300051685959,0.05809199748694145,-48.91703315699787,-58.865876922148026,0.5015061582993179,5,5,8,10,8,6,10,9,9,8,10,13,59
"Lasso(alpha=0.4, max_iter=5000)",0.7986606462160222,85.74864857005946,0.09107531703745755,51.56290372381184,68.56750833238937,0.8155346751779468,0.41366310380167376,-85.62678409752641,0.06628815929444105,-56.67787363777013,-66.78754176417577,0.646086692782873,13,13,12,13,13,13,9,12,11,13,12,5,62
LinearRegression(positive=True),0.7993626007619008,85.59903994261066,0.09794135608019702,56.965101663883615,69.4286907720621,0.8183792471415889,0.4220374350770406,-86.0061399166679,0.06882306644067764,-53.96553032382201,-67.45515701053336,0.6352749906141365,12,12,14,14,14,11,7,13,12,12,13,6,63
Ridge(),0.7874725781115606,88.098889868907,0.09212655628080763,37.42849616611744,66.38249604857246,0.799495592584815,0.35502778017518094,-86.56001786139777,0.07438763942416343,-57.05578726816041,-67.90518428258093,0.6651438951623142,14,14,13,9,12,14,12,14,13,14,14,3,70
