,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
ExtraTreesRegressor(),0.9187701246640617,57.059980527316846,0.024974840793097714,25.150000000000006,42.13851851851853,0.9187778044417236,0.6460537867694665,-74.02332747256024,0.037049668700266714,-46.663499999999985,-53.452978021978026,0.7558902500246427,0,0,0,2,2,0,0,0,0,2,0,0,2
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.05, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.8994861508115899,63.47265693894875,0.036236295135721956,20.602447509765625,41.830661632396556,0.8999361963630074,0.5627304430955942,-77.46387916556226,0.04410371348283522,-46.049825286865236,-56.51524483816964,0.6636353707604483,2,2,1,1,1,2,2,1,1,1,1,9,15
"RandomForestRegressor(max_depth=14, min_samples_split=10, n_estimators=50)",0.8424019680683379,79.4784009148614,0.06309484045679524,47.97431208497386,61.87307060007352,0.8427122021960383,0.5181698238096395,-83.90440458783415,0.0535147430838673,-52.69607916897344,-64.81168180343067,0.6908070964795897,8,8,7,10,9,8,5,6,3,3,5,2,24
AdaBoostRegressor(),0.7178603084370754,106.34224374277889,0.10987802895602738,42.16666666666663,74.57977354092279,0.7232172119836588,0.5292828989997723,-79.4382218292985,0.05460033157758582,-57.204522880628154,-66.98191351984981,0.7171694739135013,14,14,14,8,11,14,4,2,5,8,7,1,27
BaggingRegressor(),0.8815590814098787,68.9008546955535,0.05069298388371283,35.5,49.26296296296296,0.8821726825730413,0.5719359595206794,-80.18377041809357,0.05220736200791892,-56.1,-71.06527472527472,0.6781911242918877,4,4,6,5,4,4,1,3,2,7,10,5,28
LGBMRegressor(),0.8752981412786197,70.69849831239361,0.0441275892336458,39.59905859666168,53.37598285443845,0.8753263039841137,0.5482412747060186,-82.75213413050284,0.054096276148880476,-53.61239454910229,-64.32307304513756,0.6208238844586701,5,5,4,6,5,5,3,5,4,4,4,12,32
<catboost.core.CatBoostRegressor object at 0x000001BB652702B0>,0.8853428931690938,67.79133948815831,0.04079229616595752,30.349809875954065,48.6785637237132,0.8857832893532688,0.4978491849912376,-82.474604784467,0.05614656440292355,-54.757623657134694,-62.94373047264651,0.6705530269358414,3,3,3,3,3,3,7,4,7,6,2,7,33
GradientBoostingRegressor(),0.7899843930297129,91.74861365296067,0.08300662691243373,39.93163858546768,63.70369265170908,0.7910431431170588,0.48468539031255986,-85.86238793924933,0.05610174902422525,-54.41108073017199,-63.15295043855973,0.6341816025399849,9,9,9,7,10,9,8,7,6,5,3,11,40
"KNeighborsRegressor(n_neighbors=6, weights='distance')",0.9032982135223628,62.25739924786436,0.03677325162104205,20.22508331009101,41.1746952042935,0.9056563617196062,0.5014162397192043,-93.71297812530341,0.07648162481359545,-60.82527664096964,-68.60598364821003,0.6873885148124207,1,1,2,0,0,1,6,9,8,9,8,3,43
DecisionTreeRegressor(),0.7458227080627392,100.9350726402319,0.07192785830016633,31.0,60.25925925925926,0.7493491365809747,0.4563949795147161,-98.33209876917937,0.08251968226958442,-36.15,-66.35989010989012,0.5249240490820217,13,13,8,4,8,13,9,13,11,0,6,14,53
"Lasso(alpha=0.4, max_iter=5000)",0.7879524030917213,92.19139854442614,0.09754727579181731,64.92046114938717,75.7992294743773,0.7883332939490246,0.41114924316678997,-95.37587879354449,0.08060574458159432,-69.55399215022263,-77.47682913333817,0.6749340331522132,10,10,11,12,13,10,11,10,9,11,12,6,59
"MLPRegressor(alpha=0.01, hidden_layer_sizes=(50, 9), max_iter=60,
             solver='lbfgs')",0.8670080816796734,73.0106728782538,0.05055940713990421,42.33318760010218,55.420064281572834,0.8670084346855471,0.43948334050666116,-93.30791494366807,0.12083163617611359,-61.897919246132346,-69.41788896400796,0.6398116132348723,6,6,5,9,6,6,10,8,13,10,9,10,60
LinearRegression(positive=True),0.7798021779901237,93.94642002066148,0.10380699678957443,68.82725836699137,75.16951460033559,0.7810765721718006,0.39927657859536564,-96.61182051784154,0.08233783761975758,-72.66627529041563,-78.7197958293606,0.6646685142619173,11,11,12,13,12,11,12,12,10,13,13,8,68
Ridge(),0.7791705373911787,94.08106685485247,0.10683933197210685,75.17989623366611,79.30720653121601,0.7791896381543314,0.37813189182600004,-96.07917969508289,0.09204947920830232,-74.39608622023181,-79.47612221522579,0.6873402186119125,12,12,13,14,14,12,13,11,12,14,14,4,68
"SVR(C=1.6, cache_size=3000, epsilon=0.09, gamma=4, kernel='poly')",0.8451686412338854,78.77768028783937,0.08726999164626971,53.220030675241674,59.66391760481119,0.8453591264604998,0.33805205617089606,-99.09195282975021,0.12225292717274697,-72.08727822775705,-76.76481082372558,0.6082527264878801,7,7,10,11,7,7,14,14,14,12,11,13,78
